Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.9467208954675113,_SAM-Adapter
MONAI_LHU-Net,0.9662790930293514,"Vision_Language_U-Net_CLIP, MONAI_SegVol"
Vision_Language_U-Net_CLIP,0.9670049870215482,"MONAI_SegVol, MONAI_LHU-Net"
nnU-Net_STU-Net,0.9692418980106404,"nnU-Net_MedNeXt, nnU-Net_NexToU"
nnU-Net_ResEncL,0.9684273785095501,"nnU-Net_MedNeXt, nnU-Net_NexToU, _Diff-UNet"
nnU-Net_MedNeXt,0.9690952880297549,"nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, nnU-Net_ResEncL"
MONAI_UNETR,0.8936729219516715,
Vision_Language_Swin_UNETR_CLIP,0.9708055326012688,
MONAI_SegVol,0.9668029802825169,"MONAI_LHU-Net, Vision_Language_U-Net_CLIP"
MONAI_UCTransNet,0.959988153897799,
nnU-Net_NexToU,0.9685315978459972,"_Diff-UNet, nnU-Net_STU-Net, nnU-Net_ResEncL, nnU-Net_MedNeXt"
_SAM-Adapter,0.9442993855386916,MONAI_UNEST
_Diff-UNet,0.9683455998186322,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_NexToU"
MONAI_Swin_UNETR,0.9357832298661263,
nnU-Net_U-Net,0.9699689644138988,
