Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.7670129860417593,
MONAI_LHU-Net,0.905879426516914,"MONAI_SegVol, MONAI_UCTransNet, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.8819253880244035,nnU-Net_NexToU
nnU-Net_STU-Net,0.9248757058191925,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_ResEncL,0.9219843127937747,"nnU-Net_MedNeXt, nnU-Net_U-Net, nnU-Net_STU-Net"
nnU-Net_MedNeXt,0.9242993116266955,"nnU-Net_U-Net, nnU-Net_STU-Net, nnU-Net_ResEncL"
MONAI_UNETR,0.6865190511074015,
Vision_Language_Swin_UNETR_CLIP,0.8701318448189276,nnU-Net_NexToU
MONAI_SegVol,0.9049464953996899,"MONAI_UCTransNet, _Diff-UNet, MONAI_LHU-Net"
MONAI_UCTransNet,0.9057237454471624,"_Diff-UNet, MONAI_LHU-Net, MONAI_SegVol"
nnU-Net_NexToU,0.8778652042206412,"Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.5167533658430903,
_Diff-UNet,0.9044391555365657,"MONAI_LHU-Net, MONAI_SegVol, MONAI_UCTransNet"
MONAI_Swin_UNETR,0.7386250785861241,
nnU-Net_U-Net,0.9203642071076227,"nnU-Net_STU-Net, nnU-Net_ResEncL, nnU-Net_MedNeXt"
