Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.9018298798926034,
MONAI_LHU-Net,0.9551332154926264,
Vision_Language_U-Net_CLIP,0.9542062674490911,
nnU-Net_STU-Net,0.9608341869669703,
nnU-Net_ResEncL,0.9624019146053436,
nnU-Net_MedNeXt,0.9618744910887952,
MONAI_UNETR,0.8016949551267866,
Vision_Language_Swin_UNETR_CLIP,0.9581837937886001,
MONAI_SegVol,0.9561447734311926,
MONAI_UCTransNet,0.9396169921137252,
nnU-Net_NexToU,0.9574018845861813,
_SAM-Adapter,0.8941605330638166,
_Diff-UNet,0.9589372111941283,
MONAI_Swin_UNETR,0.90240338101021,
nnU-Net_U-Net,0.955189074712891,
