Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.7832064941564997,
MONAI_LHU-Net,0.8928440726028298,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.8929063160464449,"nnU-Net_STU-Net, Vision_Language_Swin_UNETR_CLIP, nnU-Net_NexToU, nnU-Net_U-Net, MONAI_LHU-Net"
nnU-Net_STU-Net,0.8991568546043709,"nnU-Net_ResEncL, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, nnU-Net_NexToU, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP"
nnU-Net_ResEncL,0.9022773434531014,"nnU-Net_MedNeXt, nnU-Net_STU-Net"
nnU-Net_MedNeXt,0.9015388218861706,"nnU-Net_STU-Net, nnU-Net_ResEncL"
MONAI_UNETR,0.5281099822293124,
Vision_Language_Swin_UNETR_CLIP,0.8926978607785027,"nnU-Net_NexToU, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_STU-Net"
MONAI_SegVol,0.8751245404189487,
MONAI_UCTransNet,0.8378299700254399,
nnU-Net_NexToU,0.8962327216031416,"nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_STU-Net, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.4870341478767893,
_Diff-UNet,0.9055632879149239,nnU-Net_STU-Net
MONAI_Swin_UNETR,0.7653444428488894,
nnU-Net_U-Net,0.89649004406243,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net, Vision_Language_Swin_UNETR_CLIP, nnU-Net_NexToU"
