Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.7809527580415443,
MONAI_LHU-Net,0.9015852814013103,"nnU-Net_STU-Net, nnU-Net_MedNeXt, nnU-Net_NexToU"
Vision_Language_U-Net_CLIP,0.893261674440132,
nnU-Net_STU-Net,0.9027911426383071,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_NexToU, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net"
nnU-Net_ResEncL,0.9068282460266689,"_Diff-UNet, nnU-Net_U-Net, nnU-Net_STU-Net"
nnU-Net_MedNeXt,0.9030701081707793,"nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net"
MONAI_UNETR,0.4469474470032267,
Vision_Language_Swin_UNETR_CLIP,0.8833129226599099,MONAI_SegVol
MONAI_SegVol,0.8825025060266819,Vision_Language_Swin_UNETR_CLIP
MONAI_UCTransNet,0.8107181233758072,
nnU-Net_NexToU,0.9025739255378831,"MONAI_LHU-Net, nnU-Net_STU-Net, nnU-Net_MedNeXt"
_SAM-Adapter,0.5917598401319306,
_Diff-UNet,0.9077657366698643,"nnU-Net_U-Net, nnU-Net_STU-Net, nnU-Net_ResEncL"
MONAI_Swin_UNETR,0.7244758338118323,
nnU-Net_U-Net,0.9065495611924046,"nnU-Net_STU-Net, nnU-Net_ResEncL, _Diff-UNet"
