Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.6427724909449719,
MONAI_LHU-Net,0.8377787500452145,"_Diff-UNet, nnU-Net_U-Net"
Vision_Language_U-Net_CLIP,0.7721864098008533,
nnU-Net_STU-Net,0.8701149428932412,
nnU-Net_ResEncL,0.8304072063814631,
nnU-Net_MedNeXt,0.8509466271239419,
MONAI_UNETR,0.4221923994897484,
Vision_Language_Swin_UNETR_CLIP,0.813349586881795,MONAI_SegVol
MONAI_SegVol,0.8065955532648327,Vision_Language_Swin_UNETR_CLIP
MONAI_UCTransNet,0.8237866482524442,
nnU-Net_NexToU,0.8618331323421471,
_SAM-Adapter,0.2912747558157395,
_Diff-UNet,0.8352478517823998,"nnU-Net_U-Net, MONAI_LHU-Net"
MONAI_Swin_UNETR,0.6732330046835273,
nnU-Net_U-Net,0.8356816882152271,"MONAI_LHU-Net, _Diff-UNet"
