Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.5044146593414681,
MONAI_LHU-Net,0.687236256682952,"nnU-Net_STU-Net, nnU-Net_ResEncL, nnU-Net_NexToU"
Vision_Language_U-Net_CLIP,0.6396672226613256,MONAI_SegVol
nnU-Net_STU-Net,0.6789997911437091,"nnU-Net_ResEncL, nnU-Net_MedNeXt, MONAI_UCTransNet, nnU-Net_NexToU, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net"
nnU-Net_ResEncL,0.6878914007001307,"nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net"
nnU-Net_MedNeXt,0.6783528709050826,"nnU-Net_U-Net, nnU-Net_STU-Net"
MONAI_UNETR,0.23893360261070656,
Vision_Language_Swin_UNETR_CLIP,0.6262123411535983,
MONAI_SegVol,0.6378621675058518,Vision_Language_U-Net_CLIP
MONAI_UCTransNet,0.6621549796536711,nnU-Net_STU-Net
nnU-Net_NexToU,0.6923394516792413,"_Diff-UNet, MONAI_LHU-Net, nnU-Net_STU-Net, nnU-Net_ResEncL"
_SAM-Adapter,0.10072010984493845,
_Diff-UNet,0.6969606003877693,"nnU-Net_STU-Net, nnU-Net_NexToU"
MONAI_Swin_UNETR,0.5214056750036699,
nnU-Net_U-Net,0.6808179807282048,"nnU-Net_STU-Net, nnU-Net_MedNeXt"
