Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.606171508705834,
MONAI_LHU-Net,0.8015071879967516,"MONAI_SegVol, MONAI_UCTransNet, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.7727794376871152,
nnU-Net_STU-Net,0.8403298531342479,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_ResEncL,0.8322398308629614,"nnU-Net_MedNeXt, nnU-Net_U-Net, nnU-Net_STU-Net"
nnU-Net_MedNeXt,0.8339759078414981,"nnU-Net_U-Net, nnU-Net_STU-Net, nnU-Net_ResEncL"
MONAI_UNETR,0.4517868994202248,
Vision_Language_Swin_UNETR_CLIP,0.7527217429697401,
MONAI_SegVol,0.7981459693546367,"MONAI_UCTransNet, _Diff-UNet, MONAI_LHU-Net"
MONAI_UCTransNet,0.7982558499581371,"_Diff-UNet, MONAI_LHU-Net, MONAI_SegVol"
nnU-Net_NexToU,0.7594418498856936,
_SAM-Adapter,0.2568652231323115,
_Diff-UNet,0.8019528760807152,"MONAI_LHU-Net, MONAI_SegVol, MONAI_UCTransNet"
MONAI_Swin_UNETR,0.556967443960147,
nnU-Net_U-Net,0.8321313576783292,"nnU-Net_STU-Net, nnU-Net_ResEncL, nnU-Net_MedNeXt"
