Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.6571712610115232,
MONAI_LHU-Net,0.8091641832247908,
Vision_Language_U-Net_CLIP,0.8173339601752906,nnU-Net_NexToU
nnU-Net_STU-Net,0.8346220791339874,"nnU-Net_ResEncL, nnU-Net_MedNeXt, _Diff-UNet, nnU-Net_U-Net"
nnU-Net_ResEncL,0.8397132739788149,nnU-Net_STU-Net
nnU-Net_MedNeXt,0.8439949569178791,nnU-Net_STU-Net
MONAI_UNETR,0.4457328193366709,
Vision_Language_Swin_UNETR_CLIP,0.8130786220419026,
MONAI_SegVol,0.7870280680580389,
MONAI_UCTransNet,0.7347277812030705,
nnU-Net_NexToU,0.81765752049481,Vision_Language_U-Net_CLIP
_SAM-Adapter,0.488000748402965,
_Diff-UNet,0.8290272459359822,"nnU-Net_U-Net, nnU-Net_STU-Net"
MONAI_Swin_UNETR,0.6042377599130611,
nnU-Net_U-Net,0.8311183855468739,"nnU-Net_STU-Net, _Diff-UNet"
