Model,Average_Score,Equivalent_Models
UNETR,0.8915860994222415,Swin_UNETR
U-Net_CLIP,0.9108015413612313,Swin_UNETR_CLIP
Diff-UNet,0.9191734190843971,"LHU-Net, STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L"
LHU-Net,0.9179933556354036,"STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L, UniSeg, Diff-UNet"
NexToU,0.8956112977606612,UNEST
Swin_UNETR_CLIP,0.9095418242228757,U-Net_CLIP
STU-Net H,0.9187527634239835,"nnU-Net_ResEncL, SegVol, nnU-Net U-Net, MedFormer, STU-Net B, Diff-UNet, LHU-Net"
nnU-Net_ResEncL,0.9191799094403253,"SegVol, MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L, Diff-UNet, LHU-Net, STU-Net H"
SegVol,0.9175355002726737,"MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L, UniSeg, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL"
UNEST,0.9010083146166147,NexToU
MedNeXt,0.9182596760403092,"MedFormer, STU-Net B, STU-Net L, Diff-UNet, LHU-Net, nnU-Net_ResEncL, SegVol"
nnU-Net U-Net,0.9187497511682464,"MedFormer, STU-Net B, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL, SegVol"
MedFormer,0.9186040959059362,"STU-Net B, STU-Net L, UniSeg, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net"
Swin_UNETR,0.8965681463511371,UNETR
STU-Net B,0.918628012738102,"STU-Net L, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net, MedFormer"
STU-Net L,0.9182154037630038,"Diff-UNet, LHU-Net, nnU-Net_ResEncL, SegVol, MedNeXt, MedFormer, STU-Net B"
UCTransNet,0.8685459800688369,
UniSeg,0.9148979082744875,"LHU-Net, SegVol, MedFormer"
SAM-Adapter,0.8725850444698285,
