Model,Average_Score,Equivalent_Models
UNETR,0.7227193189123442,
U-Net_CLIP,0.808077816261818,"Diff-UNet, nnU-Net U-Net"
Diff-UNet,0.818596596471813,"Swin_UNETR_CLIP, nnU-Net U-Net, U-Net_CLIP"
LHU-Net,0.8104462912763766,Swin_UNETR_CLIP
NexToU,0.8026438749222359,
Swin_UNETR_CLIP,0.8018903934026772,"Diff-UNet, LHU-Net"
STU-Net H,0.8341200186696596,"MedFormer, STU-Net B, STU-Net L"
nnU-Net_ResEncL,0.8293040707122996,"MedNeXt, MedFormer, STU-Net B, UniSeg"
SegVol,0.7911171682268803,
UNEST,0.7617527144170125,
MedNeXt,0.8333371447883647,"MedFormer, STU-Net B, nnU-Net_ResEncL"
nnU-Net U-Net,0.8226384870421242,"U-Net_CLIP, Diff-UNet"
MedFormer,0.831111993957193,"STU-Net B, STU-Net L, UniSeg, STU-Net H, nnU-Net_ResEncL, MedNeXt"
Swin_UNETR,0.7556905689831223,
STU-Net B,0.8317338685054801,"STU-Net L, UniSeg, STU-Net H, nnU-Net_ResEncL, MedNeXt, MedFormer"
STU-Net L,0.8340450467795115,"STU-Net H, MedFormer, STU-Net B"
UCTransNet,0.590259457676709,
UniSeg,0.8274450506045127,"nnU-Net_ResEncL, MedFormer, STU-Net B"
SAM-Adapter,0.5023115612627146,
