Model,Average_Score,Equivalent_Models
UNETR,0.9166050398211563,
U-Net_CLIP,0.9428787009559408,"LHU-Net, NexToU, Swin_UNETR_CLIP, SegVol"
Diff-UNet,0.9502515716337055,"LHU-Net, NexToU, STU-Net H, nnU-Net_ResEncL, MedNeXt, nnU-Net U-Net, STU-Net B, STU-Net L, UniSeg"
LHU-Net,0.9486172341869763,"NexToU, nnU-Net_ResEncL, nnU-Net U-Net, STU-Net B, UniSeg, U-Net_CLIP, Diff-UNet"
NexToU,0.9465348041725602,"Swin_UNETR_CLIP, SegVol, UniSeg, U-Net_CLIP, Diff-UNet, LHU-Net"
Swin_UNETR_CLIP,0.9410070377944986,"SegVol, U-Net_CLIP, NexToU"
STU-Net H,0.9519143020655686,"nnU-Net_ResEncL, MedNeXt, MedFormer, STU-Net B, STU-Net L, Diff-UNet"
nnU-Net_ResEncL,0.9520278148820331,"MedNeXt, nnU-Net U-Net, STU-Net B, STU-Net L, UniSeg, Diff-UNet, LHU-Net, STU-Net H"
SegVol,0.9452281829160787,"U-Net_CLIP, NexToU, Swin_UNETR_CLIP"
UNEST,0.9323418127930635,
MedNeXt,0.9520190653579459,"MedFormer, STU-Net B, STU-Net L, Diff-UNet, STU-Net H, nnU-Net_ResEncL"
nnU-Net U-Net,0.9510385040740944,"STU-Net B, Diff-UNet, LHU-Net, nnU-Net_ResEncL"
MedFormer,0.9553045674450446,"STU-Net L, STU-Net H, MedNeXt"
Swin_UNETR,0.9274311796283224,
STU-Net B,0.9506159645314168,"STU-Net L, UniSeg, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL, MedNeXt, nnU-Net U-Net"
STU-Net L,0.9517105486470445,"Diff-UNet, STU-Net H, nnU-Net_ResEncL, MedNeXt, MedFormer, STU-Net B"
UCTransNet,0.9023422992525797,
UniSeg,0.9485811248255648,"Diff-UNet, LHU-Net, NexToU, nnU-Net_ResEncL, STU-Net B"
SAM-Adapter,0.9045736770124784,
