Model,Average_Score,Equivalent_Models
UNETR,0.5916181301320411,UNEST
U-Net_CLIP,0.7135497195213396,"Diff-UNet, LHU-Net, NexToU, Swin_UNETR_CLIP"
Diff-UNet,0.7210598101893027,"LHU-Net, NexToU, Swin_UNETR_CLIP, U-Net_CLIP"
LHU-Net,0.7301351149664864,"NexToU, nnU-Net_ResEncL, nnU-Net U-Net, STU-Net B, U-Net_CLIP, Diff-UNet"
NexToU,0.7215887236674652,"nnU-Net U-Net, U-Net_CLIP, Diff-UNet, LHU-Net"
Swin_UNETR_CLIP,0.7016422440718693,"SegVol, U-Net_CLIP, Diff-UNet"
STU-Net H,0.7676576300896937,MedFormer
nnU-Net_ResEncL,0.7405423374248492,"MedNeXt, nnU-Net U-Net, STU-Net B, LHU-Net"
SegVol,0.6847246106009955,Swin_UNETR_CLIP
UNEST,0.5778563543342949,UNETR
MedNeXt,0.75174491356572,"STU-Net B, nnU-Net_ResEncL"
nnU-Net U-Net,0.7364058264446511,"STU-Net B, LHU-Net, NexToU, nnU-Net_ResEncL"
MedFormer,0.7726135642097586,STU-Net H
Swin_UNETR,0.6248132729761057,
STU-Net B,0.756267329796192,"LHU-Net, nnU-Net_ResEncL, MedNeXt, nnU-Net U-Net"
STU-Net L,0.7609369714583204,UniSeg
UCTransNet,0.6600907736455423,
UniSeg,0.7560588364746023,STU-Net L
SAM-Adapter,0.1980714345613281,
