Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.5468342473928057,MONAI_Swin_UNETR
MONAI_LHU-Net,0.6298832430922203,"MONAI_SegVol, nnU-Net_NexToU"
Vision_Language_U-Net_CLIP,0.5895708617835809,"Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, _Diff-UNet"
nnU-Net_UniSeg,0.6916089746692003,_MedFormer
nnU-Net_ResEncL,0.7383781391422906,"nnU-Net_STU-Net_H, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
nnU-Net_STU-Net_H,0.7468120599393538,"nnU-Net_STU-Net_B, nnU-Net_ResEncL"
_MedFormer,0.7031644574199518,"nnU-Net_MedNeXt, nnU-Net_U-Net, nnU-Net_UniSeg"
nnU-Net_MedNeXt,0.7190660713749585,"nnU-Net_U-Net, _MedFormer"
MONAI_UNETR,0.4099500471679631,
Vision_Language_Swin_UNETR_CLIP,0.5858843818725101,"MONAI_SegVol, _Diff-UNet, Vision_Language_U-Net_CLIP"
MONAI_SegVol,0.6083170206866952,"nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.4966829141465597,
nnU-Net_NexToU,0.6151831005805162,"_Diff-UNet, MONAI_LHU-Net, MONAI_SegVol"
_SAM-Adapter,0.15176023455166024,
nnU-Net_STU-Net_L,0.7572493598592811,"nnU-Net_STU-Net_B, nnU-Net_ResEncL"
nnU-Net_STU-Net_B,0.7424412067321278,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_STU-Net_L"
_Diff-UNet,0.6096467456965662,"Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU"
MONAI_Swin_UNETR,0.5451497874025605,MONAI_UNEST
nnU-Net_U-Net,0.7103936879748497,"_MedFormer, nnU-Net_MedNeXt"
