Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.7384194096482612,"MONAI_LHU-Net, nnU-Net_UniSeg, nnU-Net_NexToU, _Diff-UNet"
MONAI_LHU-Net,0.8184880357676461,"Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, _MedFormer, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU, nnU-Net_STU-Net_L, _Diff-UNet, MONAI_UNEST"
Vision_Language_U-Net_CLIP,0.8356807354092598,"nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU, nnU-Net_STU-Net_L, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net"
nnU-Net_UniSeg,0.8447219731590965,"_MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, MONAI_UNEST, MONAI_LHU-Net, Vision_Language_U-Net_CLIP"
nnU-Net_ResEncL,0.8887696483476744,"nnU-Net_STU-Net_H, _MedFormer, nnU-Net_STU-Net_L, nnU-Net_U-Net"
nnU-Net_STU-Net_H,0.8894980624944222,"_MedFormer, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL"
_MedFormer,0.8547936871321872,"nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H"
nnU-Net_MedNeXt,0.8552168100400277,"MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer"
MONAI_UNETR,0.47889030961097556,
Vision_Language_Swin_UNETR_CLIP,0.8113751041787591,"MONAI_SegVol, nnU-Net_STU-Net_L, _Diff-UNet, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg"
MONAI_SegVol,0.8277547192844478,"nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.7427587704185598,
nnU-Net_NexToU,0.7818693925067782,"_Diff-UNet, MONAI_UNEST, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, MONAI_SegVol"
_SAM-Adapter,0.08477733727541897,
nnU-Net_STU-Net_L,0.8820130907257377,"nnU-Net_STU-Net_B, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol"
nnU-Net_STU-Net_B,0.8712818359041756,"nnU-Net_U-Net, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L"
_Diff-UNet,0.8130570763891394,"MONAI_UNEST, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU"
MONAI_Swin_UNETR,0.5973267701285129,
nnU-Net_U-Net,0.883873158253052,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
