Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.38918382187807526,"MONAI_UNETR, MONAI_Swin_UNETR"
MONAI_LHU-Net,0.6748412238175472,"Vision_Language_U-Net_CLIP, _MedFormer"
Vision_Language_U-Net_CLIP,0.6582158277350479,"Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, MONAI_LHU-Net"
nnU-Net_UniSeg,0.7281591726472822,_MedFormer
nnU-Net_ResEncL,0.7636020033525424,"nnU-Net_STU-Net_H, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net"
nnU-Net_STU-Net_H,0.7691557511766728,"nnU-Net_STU-Net_B, nnU-Net_U-Net, nnU-Net_ResEncL"
_MedFormer,0.6996196347107629,"MONAI_LHU-Net, nnU-Net_UniSeg"
nnU-Net_MedNeXt,0.7522273794922149,nnU-Net_U-Net
MONAI_UNETR,0.41284201438383833,MONAI_UNEST
Vision_Language_Swin_UNETR_CLIP,0.6357553963037063,"MONAI_SegVol, Vision_Language_U-Net_CLIP"
MONAI_SegVol,0.6299812010116197,"Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.49260164457305555,
nnU-Net_NexToU,0.5940138565991696,_Diff-UNet
_SAM-Adapter,0.04796026583696292,
nnU-Net_STU-Net_L,0.7757829551306946,"nnU-Net_STU-Net_B, nnU-Net_U-Net, nnU-Net_ResEncL"
nnU-Net_STU-Net_B,0.7728899957054525,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_STU-Net_L"
_Diff-UNet,0.6073953217409044,nnU-Net_NexToU
MONAI_Swin_UNETR,0.38135084245216466,MONAI_UNEST
nnU-Net_U-Net,0.7644601050152476,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
