Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.7945904877507223,nnU-Net_NexToU
MONAI_LHU-Net,0.860216177916968,"Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU"
Vision_Language_U-Net_CLIP,0.8740500268699254,"nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU, nnU-Net_STU-Net_L, MONAI_LHU-Net"
nnU-Net_UniSeg,0.8940287496137601,"nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_STU-Net_L, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP"
nnU-Net_ResEncL,0.917789498373613,"nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
nnU-Net_STU-Net_H,0.9241986966710485,"_MedFormer, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, nnU-Net_UniSeg, nnU-Net_ResEncL"
_MedFormer,0.9071292736364424,"nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H"
nnU-Net_MedNeXt,0.9162418946376717,"nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer"
MONAI_UNETR,0.6036082915076748,
Vision_Language_Swin_UNETR_CLIP,0.8709334431065257,"MONAI_SegVol, nnU-Net_NexToU, nnU-Net_STU-Net_L, _Diff-UNet, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg"
MONAI_SegVol,0.8712552799973922,"nnU-Net_NexToU, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.7636930998030168,
nnU-Net_NexToU,0.8300688988273652,"MONAI_UNEST, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol"
_SAM-Adapter,0.5347318820890626,
nnU-Net_STU-Net_L,0.9161274968699533,"nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_STU-Net_B,0.922999405240336,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, nnU-Net_STU-Net_L"
_Diff-UNet,0.8826840948598573,"nnU-Net_U-Net, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, Vision_Language_Swin_UNETR_CLIP, nnU-Net_STU-Net_L"
MONAI_Swin_UNETR,0.6626121758041448,
nnU-Net_U-Net,0.9121000122359707,"nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet"
