Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.4573063900073369,"nnU-Net_STU-Net_H, MONAI_UNETR, nnU-Net_NexToU, nnU-Net_STU-Net_L, _Diff-UNet, MONAI_Swin_UNETR"
MONAI_LHU-Net,0.6977671688353574,"Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net"
Vision_Language_U-Net_CLIP,0.7147949638224587,"nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net"
nnU-Net_UniSeg,0.7320971745187071,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP"
nnU-Net_ResEncL,0.76647812049422,"nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg"
nnU-Net_STU-Net_H,0.7653750290387663,"_MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, MONAI_Swin_UNETR, nnU-Net_U-Net, MONAI_UNEST, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL"
_MedFormer,0.7103335207581511,"Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, MONAI_Swin_UNETR, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H"
nnU-Net_MedNeXt,0.7489531056610522,"Vision_Language_Swin_UNETR_CLIP, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H"
MONAI_UNETR,0.3290455539262405,"MONAI_Swin_UNETR, MONAI_UNEST"
Vision_Language_Swin_UNETR_CLIP,0.6876391060374402,"MONAI_SegVol, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
