Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.6674610669574684,"Vision_Language_Swin_UNETR_CLIP, nnU-Net_NexToU"
MONAI_LHU-Net,0.780026607898506,"nnU-Net_UniSeg, _MedFormer, MONAI_SegVol, nnU-Net_NexToU, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.788831968807568,"nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet"
nnU-Net_UniSeg,0.7888148175473562,"_MedFormer, MONAI_SegVol, nnU-Net_NexToU, nnU-Net_STU-Net_L, _Diff-UNet, MONAI_LHU-Net, Vision_Language_U-Net_CLIP"
nnU-Net_ResEncL,0.8519856858272421,"nnU-Net_STU-Net_H, nnU-Net_STU-Net_L, nnU-Net_U-Net"
nnU-Net_STU-Net_H,0.8293126769226175,"_MedFormer, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL"
_MedFormer,0.7918371632754392,"MONAI_SegVol, nnU-Net_NexToU, nnU-Net_STU-Net_L, _Diff-UNet, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_STU-Net_H"
nnU-Net_MedNeXt,0.8275076489153681,"MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_H"
MONAI_UNETR,0.3554153973816784,
Vision_Language_Swin_UNETR_CLIP,0.7415964280152536,"nnU-Net_NexToU, _Diff-UNet, MONAI_UNEST"
MONAI_SegVol,0.7658756944366684,"nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
MONAI_UCTransNet,0.5958396537876609,MONAI_Swin_UNETR
nnU-Net_NexToU,0.7462918942111497,"_Diff-UNet, MONAI_UNEST, MONAI_LHU-Net, nnU-Net_UniSeg, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.24317035235728973,
nnU-Net_STU-Net_L,0.8299667326160906,"nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, MONAI_SegVol"
nnU-Net_STU-Net_B,0.8327803256084858,"nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L"
_Diff-UNet,0.7621489069787628,"MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, _MedFormer, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU"
MONAI_Swin_UNETR,0.5310440367659933,MONAI_UCTransNet
nnU-Net_U-Net,0.839050988710517,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
