Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.7577916029108842,
MONAI_LHU-Net,0.7790001480908209,"MONAI_SegVol, nnU-Net_NexToU"
Vision_Language_U-Net_CLIP,0.8187750149092534,"nnU-Net_UniSeg, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.8353868348620681,"_MedFormer, Vision_Language_Swin_UNETR_CLIP, _Diff-UNet, Vision_Language_U-Net_CLIP"
nnU-Net_ResEncL,0.8509703683929674,"nnU-Net_STU-Net_H, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net"
nnU-Net_STU-Net_H,0.8721400710590406,"nnU-Net_MedNeXt, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, nnU-Net_ResEncL"
_MedFormer,0.8295167429481989,"Vision_Language_Swin_UNETR_CLIP, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg"
nnU-Net_MedNeXt,0.8669182613237633,"nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_H"
MONAI_UNETR,0.580389731743375,
Vision_Language_Swin_UNETR_CLIP,0.8201580563608482,"MONAI_SegVol, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, _MedFormer"
MONAI_SegVol,0.789722197290203,"nnU-Net_NexToU, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.7125429961656674,
nnU-Net_NexToU,0.7853450867856966,"MONAI_LHU-Net, MONAI_SegVol"
_SAM-Adapter,0.4077336428702481,
nnU-Net_STU-Net_L,0.8787309558474728,"nnU-Net_STU-Net_B, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.8543997328669573,"_Diff-UNet, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, nnU-Net_STU-Net_L"
_Diff-UNet,0.8466471297199718,"nnU-Net_U-Net, nnU-Net_UniSeg, nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, nnU-Net_STU-Net_B"
MONAI_Swin_UNETR,0.6508828289325775,
nnU-Net_U-Net,0.8663740498991368,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet"
