Model,Average_Score,Equivalent_Models
UNETR,0.7651728520114884,Swin_UNETR_CLIP
U-Net_CLIP,0.7705211853581563,Swin_UNETR_CLIP
Diff-UNet,0.8121405976715066,"STU-Net L, UCTransNet"
LHU-Net,0.7952663431323392,
NexToU,0.8640840056247453,
Swin_UNETR_CLIP,0.7805949401973699,"UNETR, U-Net_CLIP"
STU-Net H,0.8108800502029584,"nnU-Net_ResEncL, STU-Net B, UCTransNet"
nnU-Net_ResEncL,0.8137328456508598,"nnU-Net U-Net, STU-Net B, STU-Net L, UCTransNet, UniSeg, STU-Net H"
SegVol,0.8019312309831368,
UNEST,0.7767184063277798,
MedNeXt,0.8311570161250458,MedFormer
nnU-Net U-Net,0.8285299386442536,"STU-Net B, nnU-Net_ResEncL"
MedFormer,0.8215079226820701,MedNeXt
Swin_UNETR,0.7716862498888969,
STU-Net B,0.8212443751856913,"STU-Net L, UCTransNet, UniSeg, STU-Net H, nnU-Net_ResEncL, nnU-Net U-Net"
STU-Net L,0.8099281640546031,"UCTransNet, Diff-UNet, nnU-Net_ResEncL, STU-Net B"
UCTransNet,0.8646161596181008,"Diff-UNet, STU-Net H, nnU-Net_ResEncL, STU-Net B, STU-Net L"
UniSeg,0.8226789237959625,"nnU-Net_ResEncL, STU-Net B"
SAM-Adapter,0.6280192137989233,
