Model,Average_Score,Equivalent_Models
UNETR,0.9010922500744071,"NexToU, SAM-Adapter"
U-Net_CLIP,0.9186408946522778,"Swin_UNETR_CLIP, UniSeg"
Diff-UNet,0.9276297578551909,"LHU-Net, STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L"
LHU-Net,0.9250767627468736,"STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L, Diff-UNet"
NexToU,0.9011264128262497,"SAM-Adapter, UNETR"
Swin_UNETR_CLIP,0.9171307765262353,U-Net_CLIP
STU-Net H,0.9260337175895925,"nnU-Net_ResEncL, SegVol, nnU-Net U-Net, MedFormer, STU-Net B, Diff-UNet, LHU-Net"
nnU-Net_ResEncL,0.9263430571000152,"SegVol, MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L, Diff-UNet, LHU-Net, STU-Net H"
SegVol,0.9250850897089447,"MedNeXt, nnU-Net U-Net, STU-Net B, STU-Net L, UniSeg, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL"
UNEST,0.9091516427095556,
MedNeXt,0.9257800274690309,"MedFormer, STU-Net B, STU-Net L, Diff-UNet, LHU-Net, nnU-Net_ResEncL, SegVol"
nnU-Net U-Net,0.9266006142688054,"MedFormer, STU-Net B, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL, SegVol"
MedFormer,0.9278544912708863,"STU-Net B, STU-Net L, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL, MedNeXt, nnU-Net U-Net"
Swin_UNETR,0.8982411412119475,
STU-Net B,0.925359405353035,"STU-Net L, UniSeg, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net, MedFormer"
STU-Net L,0.9251207500392609,"Diff-UNet, LHU-Net, nnU-Net_ResEncL, SegVol, MedNeXt, MedFormer, STU-Net B"
UCTransNet,0.8644733352256461,
UniSeg,0.922018540994856,"U-Net_CLIP, SegVol, STU-Net B"
SAM-Adapter,0.903608778376228,"UNETR, NexToU"
