Model,Average_Score,Equivalent_Models
UNETR,0.9502800251656711,Swin_UNETR
U-Net_CLIP,0.9595155187527905,"Diff-UNet, LHU-Net, Swin_UNETR_CLIP, STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net, STU-Net B, STU-Net L, UniSeg"
Diff-UNet,0.9619578387294898,"LHU-Net, Swin_UNETR_CLIP, STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L, UniSeg, U-Net_CLIP"
LHU-Net,0.9618329819006383,"Swin_UNETR_CLIP, STU-Net H, nnU-Net_ResEncL, MedNeXt, nnU-Net U-Net, MedFormer, STU-Net B, STU-Net L, UniSeg, U-Net_CLIP, Diff-UNet"
NexToU,0.9565073242488319,
Swin_UNETR_CLIP,0.957596500808987,"SegVol, nnU-Net U-Net, STU-Net B, UniSeg, U-Net_CLIP, Diff-UNet, LHU-Net"
STU-Net H,0.9632932275327487,"nnU-Net_ResEncL, MedNeXt, MedFormer, STU-Net B, U-Net_CLIP, Diff-UNet, LHU-Net"
nnU-Net_ResEncL,0.9631107166561808,"MedNeXt, nnU-Net U-Net, STU-Net B, STU-Net L, UniSeg, U-Net_CLIP, Diff-UNet, LHU-Net, STU-Net H"
SegVol,0.9602627405192753,"nnU-Net U-Net, UniSeg, U-Net_CLIP, Diff-UNet, Swin_UNETR_CLIP"
UNEST,0.9527416784412276,Swin_UNETR
MedNeXt,0.963284655459736,"MedFormer, STU-Net B, STU-Net L, U-Net_CLIP, Diff-UNet, LHU-Net, STU-Net H, nnU-Net_ResEncL"
nnU-Net U-Net,0.962184220029677,"MedFormer, STU-Net B, U-Net_CLIP, Diff-UNet, LHU-Net, Swin_UNETR_CLIP, nnU-Net_ResEncL, SegVol"
MedFormer,0.9643884356133566,"STU-Net B, STU-Net L, Diff-UNet, LHU-Net, STU-Net H, MedNeXt, nnU-Net U-Net"
Swin_UNETR,0.9522876497172119,"UNETR, UNEST"
STU-Net B,0.9623156174754368,"STU-Net L, UniSeg, U-Net_CLIP, Diff-UNet, LHU-Net, Swin_UNETR_CLIP, STU-Net H, nnU-Net_ResEncL, MedNeXt, nnU-Net U-Net, MedFormer"
STU-Net L,0.9630424351756804,"U-Net_CLIP, Diff-UNet, LHU-Net, nnU-Net_ResEncL, MedNeXt, MedFormer, STU-Net B"
UCTransNet,0.9357032492391334,
UniSeg,0.9614331206457069,"U-Net_CLIP, Diff-UNet, LHU-Net, Swin_UNETR_CLIP, nnU-Net_ResEncL, SegVol, STU-Net B"
SAM-Adapter,0.9407759504976545,
