Model,Average_Score,Equivalent_Models
UNETR,0.7320549247576595,"UNEST, Swin_UNETR"
U-Net_CLIP,0.7867613546667687,Swin_UNETR_CLIP
Diff-UNet,0.810171607202221,
LHU-Net,0.7913629417891345,"Swin_UNETR_CLIP, MedNeXt, nnU-Net U-Net, STU-Net L, UniSeg"
NexToU,0.7571420050842027,
Swin_UNETR_CLIP,0.790256855129073,"MedNeXt, STU-Net L, U-Net_CLIP, LHU-Net"
STU-Net H,0.8012042704206405,"nnU-Net_ResEncL, SegVol, STU-Net B"
nnU-Net_ResEncL,0.8029563415538755,"SegVol, nnU-Net U-Net, STU-Net B, UniSeg, STU-Net H"
SegVol,0.8021656148947724,"MedNeXt, nnU-Net U-Net, STU-Net B, STU-Net L, UniSeg, STU-Net H, nnU-Net_ResEncL"
UNEST,0.7262025350419814,"Swin_UNETR, UNETR"
MedNeXt,0.8002394606105269,"STU-Net B, LHU-Net, Swin_UNETR_CLIP, SegVol"
nnU-Net U-Net,0.7993307547612931,"STU-Net B, UniSeg, LHU-Net, nnU-Net_ResEncL, SegVol"
MedFormer,0.8296052567869523,
Swin_UNETR,0.7364950922814177,"UNETR, UNEST"
STU-Net B,0.8016027248129048,"UniSeg, STU-Net H, nnU-Net_ResEncL, SegVol, MedNeXt, nnU-Net U-Net"
STU-Net L,0.7965953755673408,"LHU-Net, Swin_UNETR_CLIP, SegVol"
UCTransNet,0.733058551529808,
UniSeg,0.7983295986157578,"LHU-Net, nnU-Net_ResEncL, SegVol, nnU-Net U-Net, STU-Net B"
SAM-Adapter,0.7000820686062565,
