Model,Average_Score,Equivalent_Models
UNETR,0.7310919597387898,"UNEST, Swin_UNETR, UCTransNet"
U-Net_CLIP,0.7780008518130854,"STU-Net H, UniSeg"
Diff-UNet,0.7818072370654339,"LHU-Net, nnU-Net U-Net"
LHU-Net,0.7775178223035227,"nnU-Net U-Net, Diff-UNet"
NexToU,0.7622271818193662,
Swin_UNETR_CLIP,0.7810747033650205,
STU-Net H,0.7944684791196619,U-Net_CLIP
nnU-Net_ResEncL,0.7888210721654767,"MedNeXt, STU-Net B, STU-Net L"
SegVol,0.7785575504877859,
UNEST,0.7333355780380921,"Swin_UNETR, UNETR"
MedNeXt,0.7904450702739371,"STU-Net B, STU-Net L, nnU-Net_ResEncL"
nnU-Net U-Net,0.7812072643361924,"Diff-UNet, LHU-Net"
MedFormer,0.8119610506405012,
Swin_UNETR,0.7370446717933784,"UNETR, UNEST"
STU-Net B,0.7859515865304535,"STU-Net L, nnU-Net_ResEncL, MedNeXt"
STU-Net L,0.790359246808197,"nnU-Net_ResEncL, MedNeXt, STU-Net B"
UCTransNet,0.7141692485214962,UNETR
UniSeg,0.7948080989233156,U-Net_CLIP
SAM-Adapter,0.6230859191249076,
