Model,Average_Score,Equivalent_Models
UNETR,0.5451113316561397,
U-Net_CLIP,0.673620971835351,"NexToU, Swin_UNETR_CLIP, nnU-Net_ResEncL"
Diff-UNet,0.6693869105901192,
LHU-Net,0.6507500096045575,SegVol
NexToU,0.6860630817123817,"Swin_UNETR_CLIP, nnU-Net_ResEncL, U-Net_CLIP"
Swin_UNETR_CLIP,0.6693701942650083,"nnU-Net_ResEncL, nnU-Net U-Net, U-Net_CLIP, NexToU"
STU-Net H,0.6970583810759327,
nnU-Net_ResEncL,0.6821700301079489,"U-Net_CLIP, NexToU, Swin_UNETR_CLIP"
SegVol,0.658892535797016,LHU-Net
UNEST,0.5796931705305493,
MedNeXt,0.6934097840727287,STU-Net B
nnU-Net U-Net,0.6742067644483144,Swin_UNETR_CLIP
MedFormer,0.7137698506186259,
Swin_UNETR,0.5921844462228244,
STU-Net B,0.6904126005705682,MedNeXt
STU-Net L,0.6969929686280534,
UCTransNet,0.44884779994370105,
UniSeg,0.6994656988506711,
SAM-Adapter,0.22418124404344608,
