Model,Average_Score,Equivalent_Models
UNETR,0.5471488943589731,
U-Net_CLIP,0.6804412642901426,"STU-Net H, MedNeXt, nnU-Net U-Net, STU-Net B, STU-Net L, UniSeg"
Diff-UNet,0.7016286769490472,"nnU-Net_ResEncL, nnU-Net U-Net"
LHU-Net,0.6814652967097138,
NexToU,0.6621621858202876,SegVol
Swin_UNETR_CLIP,0.6618744264760766,
STU-Net H,0.706754377518295,"STU-Net B, STU-Net L, U-Net_CLIP"
nnU-Net_ResEncL,0.6980527170723149,"nnU-Net U-Net, Diff-UNet"
SegVol,0.6671120318620487,NexToU
UNEST,0.603664837054141,
MedNeXt,0.707902676211344,"STU-Net B, U-Net_CLIP"
nnU-Net U-Net,0.70165556711102,"STU-Net B, U-Net_CLIP, Diff-UNet, nnU-Net_ResEncL"
MedFormer,0.7182016181298405,
Swin_UNETR,0.60803407299386,
STU-Net B,0.7052594661458337,"STU-Net L, UniSeg, U-Net_CLIP, STU-Net H, MedNeXt, nnU-Net U-Net"
STU-Net L,0.7065501306687051,"U-Net_CLIP, STU-Net H, STU-Net B"
UCTransNet,0.5630909883194324,
UniSeg,0.7018484846378065,"U-Net_CLIP, STU-Net B"
SAM-Adapter,0.3821514614693675,
