Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7622545484180857,0.8240901231765747,
MONAI_LHU-Net,0.9133178342350429,0.926572859287262,"nnU-Net_ResEncL, MONAI_UCTransNet, nnU-Net_U-Net"
Vision_Language_U-Net_CLIP,0.8678468132687506,0.9053282737731934,
nnU-Net_STU-Net,0.9217583461839962,0.9340078234672546,nnU-Net_MedNeXt
nnU-Net_ResEncL,0.9100589672798959,0.9279317259788512,"MONAI_UCTransNet, nnU-Net_U-Net, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_MedNeXt,0.92015363519232,0.9360028505325316,nnU-Net_STU-Net
MONAI_UNETR,0.5604501194491529,0.6016820669174194,
Vision_Language_Swin_UNETR_CLIP,0.8873717884409047,0.912972927093506,MONAI_SegVol
MONAI_SegVol,0.8947085001231582,0.9161422252655028,Vision_Language_Swin_UNETR_CLIP
MONAI_UCTransNet,0.9116966799320915,0.9261119961738586,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_NexToU,0.9054923295751074,0.9265724420547484,"nnU-Net_ResEncL, MONAI_UCTransNet, nnU-Net_U-Net, _Diff-UNet"
_SAM-Adapter,0.4895952171054153,0.528548002243042,
_Diff-UNet,0.9062322988742735,0.9244491457939148,"nnU-Net_ResEncL, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_U-Net"
MONAI_Swin_UNETR,0.8031647318719028,0.8704012036323547,
nnU-Net_U-Net,0.9097678646808718,0.9286978840827942,"MONAI_UCTransNet, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net"
