Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.6901275012302982,0.825000673532486,MONAI_Swin_UNETR
MONAI_LHU-Net,0.7691786524988771,0.8907003402709961,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.7631774808298432,0.8738124668598175,"MONAI_UCTransNet, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_STU-Net,0.7721424938375667,0.8860193490982056,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.7729288486169842,0.8863697946071625,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_MedNeXt,0.7661856126712129,0.8854203820228577,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
MONAI_UNETR,0.5211411233703555,0.6242595016956329,
Vision_Language_Swin_UNETR_CLIP,0.7537121844613617,0.868069589138031,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt"
MONAI_SegVol,0.7540224743966888,0.8714009523391724,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.7693345311673461,0.8784161806106567,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_NexToU,0.7745009498170203,0.876052737236023,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.3470084924899891,0.3841056823730469,
_Diff-UNet,0.7807372301398945,0.8878808617591858,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.705542159890096,0.8376145362854004,"MONAI_UNEST, nnU-Net_U-Net"
nnU-Net_U-Net,0.7360394657816647,0.8827921152114868,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, MONAI_LHU-Net, MONAI_SegVol, MONAI_Swin_UNETR, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
