Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.9452261328697205,63.1 - 96.6,['MONAI_Swin_UNETR'],NVIDIA
MONAI_LHU-Net,0.9677276313304901,91.5 - 97.9,"['MONAI_SegVol', 'nnU-Net_NexToU']",UR
Vision_Language_U-Net_CLIP,0.9634658694267274,92.3 - 97.3,[],CityU
nnU-Net_STU-Net,0.9702202379703522,93.0 - 98.1,[],Shanghai AI Lab
nnU-Net_ResEncL,0.9723097085952759,93.5 - 98.3,"['nnU-Net_MedNeXt', '_Diff-UNet']",DKFZ
nnU-Net_MedNeXt,0.9721744954586028,93.4 - 98.3,"['nnU-Net_ResEncL', '_Diff-UNet']",DKFZ
MONAI_UNETR,0.8191917240619659,0.0 - 95.9,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.965755969285965,91.1 - 97.5,[],CityU
MONAI_SegVol,0.9673976004123688,89.5 - 98.0,['MONAI_LHU-Net'],BAAI
MONAI_UCTransNet,0.9592671990394592,87.0 - 97.5,[],CityU
nnU-Net_NexToU,0.9686533510684967,91.8 - 98.0,['MONAI_LHU-Net'],HIT
_SAM-Adapter,0.8691715896129608,52.9 - 93.9,[],Duke
_Diff-UNet,0.9715871810913086,90.9 - 98.2,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt', 'nnU-Net_U-Net']",HKUST
MONAI_Swin_UNETR,0.9439685046672822,43.7 - 96.6,['MONAI_UNEST'],NVIDIA
nnU-Net_U-Net,0.9710362553596495,90.5 - 98.2,['_Diff-UNet'],N/A
