Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.8797046171149836,0.9477614462375641,_SAM-Adapter
MONAI_LHU-Net,0.9617319906095289,0.9683005213737488,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, MONAI_SegVol, nnU-Net_MedNeXt"
Vision_Language_U-Net_CLIP,0.9565798636889995,0.9615192711353302,"MONAI_SegVol, nnU-Net_NexToU, Vision_Language_Swin_UNETR_CLIP, nnU-Net_U-Net"
nnU-Net_STU-Net,0.9627843956512611,0.9689896106719972,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt"
nnU-Net_ResEncL,0.9636656400730025,0.9701996445655823,"nnU-Net_U-Net, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.9641182708290388,0.9708672165870667,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol"
MONAI_UNETR,0.6762801096293017,0.7883907556533813,
Vision_Language_Swin_UNETR_CLIP,0.9490172732551143,0.9620957970619202,"MONAI_UCTransNet, MONAI_SegVol, Vision_Language_U-Net_CLIP, nnU-Net_U-Net"
MONAI_SegVol,0.9574176281690597,0.9668489694595337,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.9397552804283376,0.9552424848079681,Vision_Language_Swin_UNETR_CLIP
nnU-Net_NexToU,0.9598544431744881,0.9682299196720123,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt"
_SAM-Adapter,0.8828977226578402,0.9092309176921844,MONAI_UNEST
_Diff-UNet,0.9627042822680383,0.9699998497962952,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, MONAI_SegVol, nnU-Net_MedNeXt"
MONAI_Swin_UNETR,0.8474941769602735,0.9428063929080963,
nnU-Net_U-Net,0.9585563587426692,0.9706578850746156,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
