Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.9467208954675113,0.9603962302207948,_SAM-Adapter
MONAI_LHU-Net,0.9662790930293514,0.9671092629432678,"MONAI_SegVol, Vision_Language_U-Net_CLIP"
Vision_Language_U-Net_CLIP,0.9670033850402475,0.968114972114563,"MONAI_SegVol, MONAI_LHU-Net"
nnU-Net_STU-Net,0.9690656484584529,0.9699927568435668,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_NexToU"
nnU-Net_ResEncL,0.9684273785095501,0.9692592620849608,"nnU-Net_STU-Net, nnU-Net_MedNeXt, nnU-Net_NexToU, _Diff-UNet"
nnU-Net_MedNeXt,0.9690952880297549,0.9701178073883056,"nnU-Net_STU-Net, nnU-Net_NexToU, nnU-Net_ResEncL, _Diff-UNet"
MONAI_UNETR,0.8936729219516715,0.9234123229980468,
Vision_Language_Swin_UNETR_CLIP,0.9708055326012688,0.9717985987663268,
MONAI_SegVol,0.9668029802825169,0.967845380306244,"Vision_Language_U-Net_CLIP, MONAI_LHU-Net"
MONAI_UCTransNet,0.959988153897799,0.9615172147750854,
nnU-Net_NexToU,0.9685315978459972,0.969371259212494,"nnU-Net_STU-Net, nnU-Net_MedNeXt, nnU-Net_ResEncL, _Diff-UNet"
_SAM-Adapter,0.9442993855386916,0.9482940435409546,MONAI_UNEST
_Diff-UNet,0.9683455998186322,0.9692763090133668,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_NexToU"
MONAI_Swin_UNETR,0.9357832298661263,0.9512898921966552,
nnU-Net_U-Net,0.9699689644138988,0.9708335995674132,
