Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.9603962302207948,77.3 - 97.1,[],NVIDIA
MONAI_LHU-Net,0.9671092629432678,95.0 - 97.5,[],UR
Vision_Language_U-Net_CLIP,0.968114972114563,95.2 - 97.5,['MONAI_SegVol'],CityU
nnU-Net_STU-Net,0.9699927568435668,95.8 - 97.7,['nnU-Net_MedNeXt'],Shanghai AI Lab
nnU-Net_ResEncL,0.9692592620849608,95.6 - 97.7,"['nnU-Net_NexToU', '_Diff-UNet']",DKFZ
nnU-Net_MedNeXt,0.9701178073883056,95.6 - 97.7,['nnU-Net_STU-Net'],DKFZ
MONAI_UNETR,0.9234123229980468,60.2 - 94.9,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.9717985987663268,95.5 - 98.0,[],CityU
MONAI_SegVol,0.967845380306244,95.2 - 97.6,['Vision_Language_U-Net_CLIP'],BAAI
MONAI_UCTransNet,0.9615172147750854,94.0 - 97.1,[],CityU
nnU-Net_NexToU,0.969371259212494,95.7 - 97.6,"['nnU-Net_ResEncL', '_Diff-UNet']",HIT
_SAM-Adapter,0.9482940435409546,90.3 - 96.2,['MONAI_Swin_UNETR'],Duke
_Diff-UNet,0.9692763090133668,95.5 - 97.6,"['nnU-Net_ResEncL', 'nnU-Net_NexToU']",HKUST
MONAI_Swin_UNETR,0.9512898921966552,74.3 - 96.4,['_SAM-Adapter'],NVIDIA
nnU-Net_U-Net,0.9708335995674132,95.6 - 97.8,[],N/A
