Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7867830915836963,0.8395560383796692,MONAI_Swin_UNETR
MONAI_LHU-Net,0.8943310769704672,0.9134249687194824,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_NexToU, nnU-Net_STU-Net, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.8833658174446253,0.905369222164154,"MONAI_UCTransNet, MONAI_LHU-Net, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_STU-Net,0.9038100428060285,0.9249204397201538,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_ResEncL,0.8994157558086889,0.9208140969276428,"nnU-Net_U-Net, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, MONAI_LHU-Net, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.8916831859728185,0.918945610523224,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UNETR,0.6293722592564177,0.6973752379417419,
Vision_Language_Swin_UNETR_CLIP,0.8885161231986577,0.9057073593139648,"nnU-Net_MedNeXt, nnU-Net_NexToU, Vision_Language_U-Net_CLIP, MONAI_LHU-Net"
MONAI_SegVol,0.8736129095306092,0.8971791863441467,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP"
MONAI_UCTransNet,0.8754550022253065,0.897354781627655,"MONAI_SegVol, Vision_Language_U-Net_CLIP"
nnU-Net_NexToU,0.895014222914014,0.9139440059661864,"nnU-Net_ResEncL, MONAI_LHU-Net, nnU-Net_STU-Net, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.43656240395963974,0.4598005414009094,
_Diff-UNet,0.9091472149342578,0.9276717901229858,"nnU-Net_STU-Net, nnU-Net_ResEncL, nnU-Net_U-Net"
MONAI_Swin_UNETR,0.7769749476583098,0.8375682234764099,MONAI_UNEST
nnU-Net_U-Net,0.9077431446895367,0.9265214204788208,"nnU-Net_STU-Net, nnU-Net_ResEncL, _Diff-UNet"
