Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.8395560383796692,30.0 - 91.0,['MONAI_Swin_UNETR'],NVIDIA
MONAI_LHU-Net,0.9134249687194824,68.4 - 94.9,['nnU-Net_NexToU'],UR
Vision_Language_U-Net_CLIP,0.905369222164154,74.1 - 93.9,['Vision_Language_Swin_UNETR_CLIP'],CityU
nnU-Net_STU-Net,0.9249204397201538,68.6 - 95.5,"['nnU-Net_ResEncL', '_Diff-UNet', 'nnU-Net_U-Net']",Shanghai AI Lab
nnU-Net_ResEncL,0.9208140969276428,65.9 - 95.5,['nnU-Net_STU-Net'],DKFZ
nnU-Net_MedNeXt,0.918945610523224,59.5 - 95.3,[],DKFZ
MONAI_UNETR,0.6973752379417419,2.8 - 86.7,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.9057073593139648,75.8 - 94.0,['Vision_Language_U-Net_CLIP'],CityU
MONAI_SegVol,0.8971791863441467,60.4 - 93.8,['MONAI_UCTransNet'],BAAI
MONAI_UCTransNet,0.897354781627655,62.7 - 94.0,['MONAI_SegVol'],CityU
nnU-Net_NexToU,0.9139440059661864,68.3 - 94.9,['MONAI_LHU-Net'],HIT
_SAM-Adapter,0.4598005414009094,9.6 - 63.8,[],Duke
_Diff-UNet,0.9276717901229858,69.7 - 95.7,"['nnU-Net_STU-Net', 'nnU-Net_U-Net']",HKUST
MONAI_Swin_UNETR,0.8375682234764099,24.0 - 91.1,['MONAI_UNEST'],NVIDIA
nnU-Net_U-Net,0.9265214204788208,70.9 - 95.6,"['nnU-Net_STU-Net', '_Diff-UNet']",N/A
