Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7670129860417593,0.8128858208656311,
MONAI_LHU-Net,0.905879426516914,0.919099509716034,"MONAI_UCTransNet, MONAI_SegVol, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.8816640642758842,0.905234396457672,nnU-Net_NexToU
nnU-Net_STU-Net,0.9243730341568337,0.9351060390472412,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_ResEncL,0.9219843127937747,0.9326332807540894,"nnU-Net_STU-Net, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_MedNeXt,0.9242993116266955,0.9347280859947203,"nnU-Net_STU-Net, nnU-Net_ResEncL, nnU-Net_U-Net"
MONAI_UNETR,0.6865190511074015,0.7239700555801392,
Vision_Language_Swin_UNETR_CLIP,0.8701318448189276,0.8954666256904602,nnU-Net_NexToU
MONAI_SegVol,0.9049464953996899,0.9178939461708068,"MONAI_UCTransNet, _Diff-UNet, MONAI_LHU-Net"
MONAI_UCTransNet,0.9057237454471624,0.9245542287826538,"MONAI_SegVol, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_NexToU,0.8778652042206412,0.8959356546401978,"Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.5167533658430903,0.5499066114425659,
_Diff-UNet,0.9044391555365657,0.9221839308738708,"MONAI_UCTransNet, MONAI_SegVol, MONAI_LHU-Net"
MONAI_Swin_UNETR,0.7386250785861241,0.7936782240867615,
nnU-Net_U-Net,0.9203642071076227,0.9335823059082032,"nnU-Net_STU-Net, nnU-Net_MedNeXt, nnU-Net_ResEncL"
