Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.8128858208656311,33.5 - 90.5,[],NVIDIA
MONAI_LHU-Net,0.919099509716034,78.4 - 94.8,"['MONAI_SegVol', 'MONAI_UCTransNet', '_Diff-UNet']",UR
Vision_Language_U-Net_CLIP,0.905234396457672,66.1 - 93.7,[],CityU
nnU-Net_STU-Net,0.9351060390472412,83.4 - 96.0,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt']",Shanghai AI Lab
nnU-Net_ResEncL,0.9326332807540894,83.3 - 95.8,"['nnU-Net_STU-Net', 'nnU-Net_U-Net']",DKFZ
nnU-Net_MedNeXt,0.9347280859947203,83.4 - 95.9,"['nnU-Net_STU-Net', 'nnU-Net_U-Net']",DKFZ
MONAI_UNETR,0.7239700555801392,24.1 - 84.9,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8954666256904602,62.5 - 93.4,['nnU-Net_NexToU'],CityU
MONAI_SegVol,0.9178939461708068,77.5 - 94.8,"['MONAI_LHU-Net', '_Diff-UNet']",BAAI
MONAI_UCTransNet,0.9245542287826538,73.5 - 95.4,"['MONAI_LHU-Net', '_Diff-UNet']",CityU
nnU-Net_NexToU,0.8959356546401978,69.7 - 94.2,['Vision_Language_Swin_UNETR_CLIP'],HIT
_SAM-Adapter,0.5499066114425659,17.5 - 72.6,[],Duke
_Diff-UNet,0.9221839308738708,74.9 - 95.5,"['MONAI_LHU-Net', 'MONAI_SegVol', 'MONAI_UCTransNet']",HKUST
MONAI_Swin_UNETR,0.7936782240867615,20.9 - 91.1,[],NVIDIA
nnU-Net_U-Net,0.9335823059082032,82.0 - 95.8,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt']",N/A
