Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.9534265100955963,43.8 - 97.5,[],NVIDIA
MONAI_LHU-Net,0.9682518839836121,87.3 - 98.1,[],UR
Vision_Language_U-Net_CLIP,0.9665352404117584,88.1 - 97.6,[],CityU
nnU-Net_STU-Net,0.9731370508670808,88.3 - 98.3,"['nnU-Net_ResEncL', 'nnU-Net_U-Net']",Shanghai AI Lab
nnU-Net_ResEncL,0.9743028879165649,89.1 - 98.4,"['nnU-Net_STU-Net', 'nnU-Net_MedNeXt']",DKFZ
nnU-Net_MedNeXt,0.9748724102973938,88.7 - 98.5,['nnU-Net_ResEncL'],DKFZ
MONAI_UNETR,0.8794245719909668,18.2 - 96.4,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.9712841510772705,88.6 - 98.1,"['MONAI_SegVol', '_Diff-UNet']",CityU
MONAI_SegVol,0.9706202149391174,85.4 - 98.2,"['Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU', '_Diff-UNet']",BAAI
MONAI_UCTransNet,0.9546233415603638,82.9 - 97.5,[],CityU
nnU-Net_NexToU,0.9696260690689087,89.3 - 98.2,"['MONAI_SegVol', '_Diff-UNet']",HIT
_SAM-Adapter,0.9143841862678528,71.3 - 94.6,[],Duke
_Diff-UNet,0.9704713523387908,90.2 - 98.2,"['Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol', 'nnU-Net_NexToU']",HKUST
MONAI_Swin_UNETR,0.9482501745223999,50.1 - 97.0,[],NVIDIA
nnU-Net_U-Net,0.9721531867980956,85.5 - 98.2,['nnU-Net_STU-Net'],N/A
