Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.6427724909449719,0.6685948371887207,
MONAI_LHU-Net,0.8377787500452145,0.8631248474121094,"nnU-Net_ResEncL, MONAI_UCTransNet, nnU-Net_U-Net"
Vision_Language_U-Net_CLIP,0.7721864098008533,0.7997813820838928,
nnU-Net_STU-Net,0.8701149428932412,0.8918028473854065,nnU-Net_MedNeXt
nnU-Net_ResEncL,0.8304072063814631,0.8493117094039917,"MONAI_UCTransNet, nnU-Net_U-Net, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_MedNeXt,0.8509466271239419,0.871080219745636,nnU-Net_STU-Net
MONAI_UNETR,0.4221923994897484,0.4435585737228393,
Vision_Language_Swin_UNETR_CLIP,0.813349586881795,0.842427670955658,MONAI_SegVol
MONAI_SegVol,0.8065955532648327,0.8292092680931091,Vision_Language_Swin_UNETR_CLIP
MONAI_UCTransNet,0.8237866482524442,0.8426798582077026,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_NexToU,0.8618331323421471,0.8824867606163025,"nnU-Net_ResEncL, MONAI_UCTransNet, nnU-Net_U-Net, _Diff-UNet"
_SAM-Adapter,0.2912747558157395,0.3003698885440826,
_Diff-UNet,0.8352478517823998,0.8604932427406311,"nnU-Net_ResEncL, MONAI_UCTransNet, nnU-Net_NexToU, nnU-Net_U-Net"
MONAI_Swin_UNETR,0.6732330046835273,0.7156574726104736,
nnU-Net_U-Net,0.8356816882152271,0.8584133982658386,"MONAI_UCTransNet, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net"
