Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.6685948371887207,21.3 - 83.8,[],NVIDIA
MONAI_LHU-Net,0.8631248474121094,62.6 - 92.1,"['_Diff-UNet', 'nnU-Net_U-Net']",UR
Vision_Language_U-Net_CLIP,0.7997813820838928,51.0 - 91.5,[],CityU
nnU-Net_STU-Net,0.8918028473854065,66.1 - 93.6,[],Shanghai AI Lab
nnU-Net_ResEncL,0.8493117094039917,64.6 - 91.4,[],DKFZ
nnU-Net_MedNeXt,0.871080219745636,65.2 - 92.9,[],DKFZ
MONAI_UNETR,0.4435585737228393,3.8 - 66.1,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.842427670955658,58.8 - 92.1,['MONAI_UCTransNet'],CityU
MONAI_SegVol,0.8292092680931091,60.6 - 90.1,[],BAAI
MONAI_UCTransNet,0.8426798582077026,61.9 - 91.1,['Vision_Language_Swin_UNETR_CLIP'],CityU
nnU-Net_NexToU,0.8824867606163025,68.3 - 92.9,[],HIT
_SAM-Adapter,0.3003698885440826,11.7 - 39.2,[],Duke
_Diff-UNet,0.8604932427406311,61.3 - 93.0,"['MONAI_LHU-Net', 'nnU-Net_U-Net']",HKUST
MONAI_Swin_UNETR,0.7156574726104736,21.8 - 85.4,[],NVIDIA
nnU-Net_U-Net,0.8584133982658386,62.8 - 92.4,"['MONAI_LHU-Net', '_Diff-UNet']",N/A
