Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7832064941564997,0.8354942202568054,MONAI_Swin_UNETR
MONAI_LHU-Net,0.8928440726028298,0.9083420932292938,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.8929063160464449,0.9069003462791443,"MONAI_UCTransNet, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_STU-Net,0.8991568546043709,0.911506712436676,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt"
nnU-Net_ResEncL,0.9022773434531014,0.915973722934723,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.9015388218861706,0.9139876067638397,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol"
MONAI_UNETR,0.5281099822293124,0.5798761546611786,
Vision_Language_Swin_UNETR_CLIP,0.8926978607785027,0.9131503701210022,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_NexToU, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol"
MONAI_SegVol,0.8751245404189487,0.8989114463329315,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.8378299700254399,0.8635852932929993,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_NexToU,0.8962327216031416,0.9098248183727264,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.4870341478767893,0.4900661110877991,
_Diff-UNet,0.9055632879149239,0.9222559630870819,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.7653444428488894,0.8142278492450714,MONAI_UNEST
nnU-Net_U-Net,0.89649004406243,0.9107573330402374,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
