Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7809527580415443,0.8505614101886749,
MONAI_LHU-Net,0.9015852814013103,0.911891371011734,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, nnU-Net_MedNeXt"
Vision_Language_U-Net_CLIP,0.893261674440132,0.9026551842689514,
nnU-Net_STU-Net,0.9027911426383071,0.912764698266983,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, nnU-Net_MedNeXt"
nnU-Net_ResEncL,0.9068282460266689,0.9163198173046112,"nnU-Net_U-Net, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, MONAI_LHU-Net, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.9030701081707793,0.9126613438129425,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, MONAI_LHU-Net"
MONAI_UNETR,0.4469474470032267,0.4748009443283081,
Vision_Language_Swin_UNETR_CLIP,0.8833129226599099,0.8997267186641693,MONAI_SegVol
MONAI_SegVol,0.8825025060266819,0.90035480260849,Vision_Language_Swin_UNETR_CLIP
MONAI_UCTransNet,0.8107181233758072,0.8523025810718536,
nnU-Net_NexToU,0.9025739255378831,0.9128056466579437,"nnU-Net_U-Net, nnU-Net_ResEncL, _Diff-UNet, nnU-Net_STU-Net, MONAI_LHU-Net, nnU-Net_MedNeXt"
_SAM-Adapter,0.5917598401319306,0.6140115559101105,
_Diff-UNet,0.9077657366698643,0.9182054698467255,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, nnU-Net_MedNeXt"
MONAI_Swin_UNETR,0.7244758338118323,0.8100283741950989,
nnU-Net_U-Net,0.9065495611924046,0.9165238440036774,"nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, nnU-Net_MedNeXt"
