Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.8505614101886749,28.4 - 93.3,[],NVIDIA
MONAI_LHU-Net,0.911891371011734,78.6 - 95.1,['nnU-Net_STU-Net'],UR
Vision_Language_U-Net_CLIP,0.9026551842689514,74.5 - 94.9,[],CityU
nnU-Net_STU-Net,0.912764698266983,80.0 - 95.1,"['MONAI_LHU-Net', 'nnU-Net_MedNeXt', 'nnU-Net_NexToU']",Shanghai AI Lab
nnU-Net_ResEncL,0.9163198173046112,82.7 - 95.5,['nnU-Net_U-Net'],DKFZ
nnU-Net_MedNeXt,0.9126613438129425,80.8 - 95.0,"['nnU-Net_STU-Net', 'nnU-Net_NexToU']",DKFZ
MONAI_UNETR,0.4748009443283081,0.0 - 83.2,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8997267186641693,70.9 - 94.7,['MONAI_SegVol'],CityU
MONAI_SegVol,0.90035480260849,70.8 - 94.7,['Vision_Language_Swin_UNETR_CLIP'],BAAI
MONAI_UCTransNet,0.8523025810718536,54.7 - 93.2,[],CityU
nnU-Net_NexToU,0.9128056466579437,78.6 - 95.3,"['nnU-Net_STU-Net', 'nnU-Net_MedNeXt']",HIT
_SAM-Adapter,0.6140115559101105,25.1 - 79.0,[],Duke
_Diff-UNet,0.9182054698467255,80.0 - 95.3,[],HKUST
MONAI_Swin_UNETR,0.8100283741950989,5.1 - 91.7,[],NVIDIA
nnU-Net_U-Net,0.9165238440036774,80.6 - 95.8,['nnU-Net_ResEncL'],N/A
