Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.6375514904341152,0.6503321528434753,
MONAI_LHU-Net,0.7422408667335367,0.7470588684082031,"MONAI_SegVol, Vision_Language_U-Net_CLIP"
Vision_Language_U-Net_CLIP,0.7479765757387172,0.7520809769630432,MONAI_LHU-Net
nnU-Net_STU-Net,0.780371170136535,0.7844481468200684,nnU-Net_NexToU
nnU-Net_ResEncL,0.7690047077121699,0.7700079679489136,_Diff-UNet
nnU-Net_MedNeXt,0.7605295223769283,0.7638056874275208,
MONAI_UNETR,0.4046660013301176,0.4120342135429382,
Vision_Language_Swin_UNETR_CLIP,0.7995234262652513,0.8059985041618347,nnU-Net_U-Net
MONAI_SegVol,0.7373198409465196,0.7435750961303711,MONAI_LHU-Net
MONAI_UCTransNet,0.6556173320894617,0.65799480676651,
nnU-Net_NexToU,0.7834871425861265,0.7887101769447327,nnU-Net_STU-Net
_SAM-Adapter,0.5720379306999425,0.5789942741394043,
_Diff-UNet,0.7684042495142451,0.7700906991958618,nnU-Net_ResEncL
MONAI_Swin_UNETR,0.5330710159177852,0.5368810892105103,
nnU-Net_U-Net,0.8058622570019949,0.8105562925338745,Vision_Language_Swin_UNETR_CLIP
