Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.6503321528434753,0.41 - 0.75,[],NVIDIA
MONAI_LHU-Net,0.7470588684082031,0.64 - 0.83,['MONAI_SegVol'],UR
Vision_Language_U-Net_CLIP,0.7520809769630432,0.65 - 0.84,[],CityU
nnU-Net_STU-Net,0.7844481468200684,0.67 - 0.87,['nnU-Net_NexToU'],Shanghai AI Lab
nnU-Net_ResEncL,0.7700079679489136,0.66 - 0.86,['_Diff-UNet'],DKFZ
nnU-Net_MedNeXt,0.7638056874275208,0.66 - 0.84,[],DKFZ
MONAI_UNETR,0.4120342135429382,0.19 - 0.55,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8059985041618347,0.66 - 0.89,[],CityU
MONAI_SegVol,0.7435750961303711,0.60 - 0.84,['MONAI_LHU-Net'],BAAI
MONAI_UCTransNet,0.65799480676651,0.54 - 0.77,[],CityU
nnU-Net_NexToU,0.7887101769447327,0.66 - 0.86,['nnU-Net_STU-Net'],HIT
_SAM-Adapter,0.5789942741394043,0.43 - 0.66,[],Duke
_Diff-UNet,0.7700906991958618,0.68 - 0.84,['nnU-Net_ResEncL'],HKUST
MONAI_Swin_UNETR,0.5368810892105103,0.33 - 0.66,[],NVIDIA
nnU-Net_U-Net,0.8105562925338745,0.71 - 0.89,[],N/A
