Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.6770714968442917,41.3 - 78.9,[],NVIDIA
MONAI_LHU-Net,0.8361633900139067,68.4 - 88.8,[],UR
Vision_Language_U-Net_CLIP,0.8147516018814511,66.3 - 87.2,[],CityU
nnU-Net_STU-Net,0.8557417889436085,70.8 - 90.4,['nnU-Net_U-Net'],Shanghai AI Lab
nnU-Net_ResEncL,0.8494096067216661,70.4 - 89.8,['_Diff-UNet'],DKFZ
nnU-Net_MedNeXt,0.8484670254919264,70.6 - 89.5,[],DKFZ
MONAI_UNETR,0.4407704679502381,17.3 - 62.0,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8229926261636946,66.1 - 88.1,[],CityU
MONAI_SegVol,0.8094893097877502,66.0 - 87.1,[],BAAI
MONAI_UCTransNet,0.7738703514138858,61.6 - 85.3,[],CityU
nnU-Net_NexToU,0.8434082799487643,70.2 - 89.5,[],HIT
_SAM-Adapter,0.39015205163094735,26.5 - 48.3,[],Duke
_Diff-UNet,0.8497448828485277,70.0 - 89.9,['nnU-Net_ResEncL'],HKUST
MONAI_Swin_UNETR,0.645463882221116,33.2 - 77.7,[],NVIDIA
nnU-Net_U-Net,0.8549642529752519,70.4 - 90.6,['nnU-Net_STU-Net'],N/A
