Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.587392116596924,0.618248462677002,MONAI_Swin_UNETR
MONAI_LHU-Net,0.8025261361648173,0.8231775760650635,"nnU-Net_MedNeXt, Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.7891233808327794,0.8148956894874573,"Vision_Language_Swin_UNETR_CLIP, MONAI_LHU-Net"
nnU-Net_STU-Net,0.8295447413203786,0.8537997603416443,"nnU-Net_ResEncL, nnU-Net_NexToU, nnU-Net_U-Net"
nnU-Net_ResEncL,0.8217722880068684,0.8468937873840332,"nnU-Net_STU-Net, nnU-Net_NexToU"
nnU-Net_MedNeXt,0.8072018765933519,0.833839476108551,"nnU-Net_NexToU, Vision_Language_Swin_UNETR_CLIP, MONAI_LHU-Net"
MONAI_UNETR,0.4239860840847691,0.4458412230014801,
Vision_Language_Swin_UNETR_CLIP,0.7955721118269002,0.8173947334289551,"nnU-Net_MedNeXt, Vision_Language_U-Net_CLIP, MONAI_LHU-Net"
MONAI_SegVol,0.7624207385038122,0.7836502194404602,MONAI_UCTransNet
MONAI_UCTransNet,0.749518717822617,0.76956707239151,MONAI_SegVol
nnU-Net_NexToU,0.8184390806122971,0.8420684933662415,"nnU-Net_STU-Net, nnU-Net_MedNeXt, nnU-Net_ResEncL"
_SAM-Adapter,0.1777052029086658,0.1826122999191284,
_Diff-UNet,0.8470427931284648,0.8694778084754944,nnU-Net_U-Net
MONAI_Swin_UNETR,0.580001995110741,0.6230396628379822,MONAI_UNEST
nnU-Net_U-Net,0.836203389736434,0.856269359588623,"nnU-Net_STU-Net, _Diff-UNet"
