Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.618248462677002,21.8 - 78.7,['MONAI_Swin_UNETR'],NVIDIA
MONAI_LHU-Net,0.8231775760650635,54.8 - 92.0,[],UR
Vision_Language_U-Net_CLIP,0.8148956894874573,57.0 - 91.2,[],CityU
nnU-Net_STU-Net,0.8537997603416443,57.0 - 94.1,"['nnU-Net_ResEncL', 'nnU-Net_U-Net']",Shanghai AI Lab
nnU-Net_ResEncL,0.8468937873840332,56.5 - 93.7,['nnU-Net_STU-Net'],DKFZ
nnU-Net_MedNeXt,0.833839476108551,49.9 - 93.5,[],DKFZ
MONAI_UNETR,0.4458412230014801,2.7 - 69.6,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8173947334289551,56.3 - 91.0,[],CityU
MONAI_SegVol,0.7836502194404602,45.3 - 89.7,[],BAAI
MONAI_UCTransNet,0.76956707239151,49.9 - 89.5,[],CityU
nnU-Net_NexToU,0.8420684933662415,57.9 - 93.2,[],HIT
_SAM-Adapter,0.1826122999191284,4.9 - 28.4,[],Duke
_Diff-UNet,0.8694778084754944,62.4 - 95.1,[],HKUST
MONAI_Swin_UNETR,0.6230396628379822,14.2 - 79.9,['MONAI_UNEST'],NVIDIA
nnU-Net_U-Net,0.856269359588623,59.0 - 93.9,['nnU-Net_STU-Net'],N/A
