Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.606171508705834,0.6351719498634338,
MONAI_LHU-Net,0.8015071879967516,0.8185781836509705,"MONAI_UCTransNet, MONAI_SegVol, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.7727794376871152,0.79216468334198,nnU-Net_NexToU
nnU-Net_STU-Net,0.8403298531342479,0.857647716999054,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_ResEncL,0.8322398308629614,0.8482670783996582,"nnU-Net_STU-Net, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_MedNeXt,0.8339759078414981,0.8467618227005005,"nnU-Net_STU-Net, nnU-Net_ResEncL, nnU-Net_U-Net"
MONAI_UNETR,0.4517868994202248,0.4673212170600891,
Vision_Language_Swin_UNETR_CLIP,0.7527217429697401,0.7684750556945801,nnU-Net_NexToU
MONAI_SegVol,0.7981459693546367,0.8133860230445862,"MONAI_UCTransNet, _Diff-UNet, MONAI_LHU-Net"
MONAI_UCTransNet,0.7982558499581371,0.8166404962539673,"MONAI_SegVol, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_NexToU,0.7594418498856936,0.7802897691726685,"Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.2568652231323115,0.2660096883773803,
_Diff-UNet,0.8019528760807152,0.8247655630111694,"MONAI_UCTransNet, MONAI_SegVol, MONAI_LHU-Net"
MONAI_Swin_UNETR,0.556967443960147,0.5971397757530212,
nnU-Net_U-Net,0.8321313576783292,0.8490989208221436,"nnU-Net_STU-Net, nnU-Net_MedNeXt, nnU-Net_ResEncL"
