Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7593793588883753,0.818840503692627,
MONAI_LHU-Net,0.9104618820027923,0.9358675181865692,Vision_Language_Swin_UNETR_CLIP
Vision_Language_U-Net_CLIP,0.8947503919449618,0.9166929423809052,MONAI_SegVol
nnU-Net_STU-Net,0.9407402049764642,0.965394526720047,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, nnU-Net_MedNeXt"
nnU-Net_ResEncL,0.9357228998586816,0.9599988162517548,"nnU-Net_U-Net, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.9340031418035615,0.9589232206344604,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net"
MONAI_UNETR,0.5531831614983396,0.5721982717514038,
Vision_Language_Swin_UNETR_CLIP,0.9202867450192571,0.9435983002185822,"_Diff-UNet, MONAI_LHU-Net"
MONAI_SegVol,0.8913939318294584,0.9236712157726288,Vision_Language_U-Net_CLIP
MONAI_UCTransNet,0.7973320579191424,0.8283672630786896,
nnU-Net_NexToU,0.9340493584297738,0.956246018409729,"nnU-Net_U-Net, nnU-Net_ResEncL, _Diff-UNet, nnU-Net_STU-Net, nnU-Net_MedNeXt"
_SAM-Adapter,0.5159232542340485,0.5326725244522095,
_Diff-UNet,0.9308021622059761,0.9530936181545258,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, nnU-Net_STU-Net, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.7161369529886628,0.7576620280742645,
nnU-Net_U-Net,0.9355718796264451,0.9589523077011108,"nnU-Net_ResEncL, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, nnU-Net_MedNeXt"
