Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.818840503692627,0.29 - 0.93,[],NVIDIA
MONAI_LHU-Net,0.9358675181865692,0.68 - 0.98,[],UR
Vision_Language_U-Net_CLIP,0.9166929423809052,0.67 - 0.96,[],CityU
nnU-Net_STU-Net,0.965394526720047,0.76 - 0.99,[],Shanghai AI Lab
nnU-Net_ResEncL,0.9599988162517548,0.73 - 0.99,"['nnU-Net_MedNeXt', 'nnU-Net_U-Net']",DKFZ
nnU-Net_MedNeXt,0.9589232206344604,0.73 - 0.99,"['nnU-Net_ResEncL', 'nnU-Net_U-Net']",DKFZ
MONAI_UNETR,0.5721982717514038,0.03 - 0.86,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.9435983002185822,0.70 - 0.98,[],CityU
MONAI_SegVol,0.9236712157726288,0.65 - 0.98,[],BAAI
MONAI_UCTransNet,0.8283672630786896,0.49 - 0.96,[],CityU
nnU-Net_NexToU,0.956246018409729,0.73 - 0.99,[],HIT
_SAM-Adapter,0.5326725244522095,0.27 - 0.67,[],Duke
_Diff-UNet,0.9530936181545258,0.74 - 0.99,[],HKUST
MONAI_Swin_UNETR,0.7576620280742645,0.32 - 0.89,[],NVIDIA
nnU-Net_U-Net,0.9589523077011108,0.72 - 0.99,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt']",N/A
