Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.6860278844833374,0.31 - 0.82,[],NVIDIA
MONAI_LHU-Net,0.8323269486427307,0.52 - 0.92,['Vision_Language_Swin_UNETR_CLIP'],UR
Vision_Language_U-Net_CLIP,0.8397415280342102,0.59 - 0.91,[],CityU
nnU-Net_STU-Net,0.8561941981315613,0.61 - 0.94,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt', '_Diff-UNet', 'nnU-Net_U-Net']",Shanghai AI Lab
nnU-Net_ResEncL,0.8622884154319763,0.62 - 0.94,['nnU-Net_STU-Net'],DKFZ
nnU-Net_MedNeXt,0.8658473491668701,0.63 - 0.94,['nnU-Net_STU-Net'],DKFZ
MONAI_UNETR,0.4744400680065155,0.06 - 0.70,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8380950689315796,0.58 - 0.91,['MONAI_LHU-Net'],CityU
MONAI_SegVol,0.8114467263221741,0.54 - 0.91,[],BAAI
MONAI_UCTransNet,0.7551530599594116,0.42 - 0.89,[],CityU
nnU-Net_NexToU,0.8435963988304138,0.54 - 0.93,[],HIT
_SAM-Adapter,0.5090136528015137,0.18 - 0.67,[],Duke
_Diff-UNet,0.8560277223587036,0.57 - 0.94,"['nnU-Net_STU-Net', 'nnU-Net_U-Net']",HKUST
MONAI_Swin_UNETR,0.6512554287910461,0.12 - 0.80,[],NVIDIA
nnU-Net_U-Net,0.850429117679596,0.57 - 0.94,"['nnU-Net_STU-Net', '_Diff-UNet']",N/A
