Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.7651728520114884,0.819866418838501,U-Net_CLIP
U-Net_CLIP,0.7705211853581563,0.7835463881492615,"UNETR, UNEST, Swin_UNETR"
Diff-UNet,0.8119698025131218,0.8471112251281738,"nnU-Net_ResEncL, STU-Net L, STU-Net H"
LHU-Net,0.7952663431323392,0.8117509484291077,
NexToU,0.8639610124682789,0.8946674168109894,UCTransNet
Swin_UNETR_CLIP,0.7805949401973699,0.8088762760162354,UNEST
STU-Net H,0.8107711664395929,0.8398202061653137,"nnU-Net_ResEncL, Diff-UNet, STU-Net L"
nnU-Net_ResEncL,0.8137328456508598,0.855818510055542,"Diff-UNet, STU-Net L, STU-Net H"
SegVol,0.8018316878456445,0.8132448792457581,
UNEST,0.7766569292921999,0.8316314816474915,"U-Net_CLIP, Swin_UNETR, Swin_UNETR_CLIP"
MedNeXt,0.83105266675814,0.8765769898891449,nnU-Net U-Net
nnU-Net U-Net,0.8284258368227789,0.8689541220664978,MedNeXt
MedFormer,0.8213913849321899,0.8709043264389038,"UniSeg, STU-Net B"
Swin_UNETR,0.7716397436185365,0.8157858848571777,"U-Net_CLIP, UNEST"
STU-Net B,0.8210715722213786,0.8625340163707733,"UniSeg, MedFormer"
STU-Net L,0.8098007666230926,0.8396134078502655,"nnU-Net_ResEncL, Diff-UNet, STU-Net H"
UCTransNet,0.8646447817453421,0.8881133198738098,NexToU
UniSeg,0.8225797212776014,0.8658116161823273,"STU-Net B, MedFormer"
SAM-Adapter,0.6280192137989233,0.6506450772285461,
