Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.7473047711257008,0.8209283351898193,UNEST
U-Net_CLIP,0.820932702977147,0.8680293262004852,NexToU
Diff-UNet,0.8380915432539043,0.8824750781059265,LHU-Net
LHU-Net,0.839006405807078,0.8810063600540161,Diff-UNet
NexToU,0.823377382204998,0.8783426284790039,U-Net_CLIP
Swin_UNETR_CLIP,0.802251358669477,0.8633891344070435,SegVol
STU-Net H,0.8600322110765533,0.8895342350006104,"STU-Net L, STU-Net B"
nnU-Net_ResEncL,0.8490318362136797,0.885490745306015,"UniSeg, nnU-Net U-Net, MedNeXt, MedFormer"
SegVol,0.7933961521839292,0.8582481741905212,Swin_UNETR_CLIP
UNEST,0.751419103327936,0.824021190404892,UNETR
MedNeXt,0.8531802097598455,0.8875752687454224,"nnU-Net_ResEncL, STU-Net L, STU-Net B, MedFormer"
nnU-Net U-Net,0.8467817838272411,0.8829757869243622,"nnU-Net_ResEncL, UniSeg"
MedFormer,0.8525091189930183,0.8900182843208313,"nnU-Net_ResEncL, STU-Net L, MedNeXt, STU-Net B"
Swin_UNETR,0.7688018274900424,0.8400952219963074,
STU-Net B,0.855157078899886,0.8865146636962891,"STU-Net L, MedNeXt, STU-Net H, MedFormer"
STU-Net L,0.8572639674701688,0.887826144695282,"STU-Net B, MedNeXt, STU-Net H, MedFormer"
UCTransNet,0.7782809062329586,0.8485981523990631,
UniSeg,0.8470087068592365,0.8817331790924072,"nnU-Net_ResEncL, nnU-Net U-Net"
SAM-Adapter,0.4942168017762318,0.5521636009216309,
