Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.8915860994222415,0.9119832515716552,
U-Net_CLIP,0.9108015413612313,0.9226844012737274,Swin_UNETR_CLIP
Diff-UNet,0.9192337657784894,0.9289413094520568,"MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
LHU-Net,0.9179933556354036,0.9270572662353516,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, STU-Net L, nnU-Net U-Net"
NexToU,0.8956853167766547,0.9177170991897584,Swin_UNETR
Swin_UNETR_CLIP,0.9095418242228757,0.921698272228241,U-Net_CLIP
STU-Net H,0.9187862354644242,0.9272208213806152,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, LHU-Net, STU-Net L, nnU-Net U-Net"
nnU-Net_ResEncL,0.9191799094403253,0.9276553392410278,"Diff-UNet, MedFormer, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
SegVol,0.9175715583906822,0.9269588589668274,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
UNEST,0.9010323811517468,0.913339138031006,
MedNeXt,0.9182943812243116,0.927181839942932,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, STU-Net L, STU-Net H, LHU-Net, nnU-Net U-Net"
nnU-Net U-Net,0.9187841806958373,0.9277441501617432,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L"
MedFormer,0.918634811124262,0.927901268005371,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
Swin_UNETR,0.8966001707472304,0.9160393476486206,NexToU
STU-Net B,0.9186836738770735,0.9275888204574584,"Diff-UNet, MedFormer, nnU-Net_ResEncL, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
STU-Net L,0.9182498878323996,0.9269182682037354,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, nnU-Net U-Net"
UCTransNet,0.8685749095673239,0.9082448482513428,SAM-Adapter
UniSeg,0.9149314116497665,0.923612415790558,SegVol
SAM-Adapter,0.8725850444698285,0.8955511450767517,UCTransNet
