Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.9010922500744071,0.9201856255531312,"NexToU, Swin_UNETR, SAM-Adapter"
U-Net_CLIP,0.9186408946522778,0.9290878176689148,Swin_UNETR_CLIP
Diff-UNet,0.9276557877017074,0.9372442364692688,"MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
LHU-Net,0.9250767627468736,0.9343016147613525,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, STU-Net L, nnU-Net U-Net"
NexToU,0.9011378939105564,0.9261992573738098,"UNETR, Swin_UNETR, SAM-Adapter"
Swin_UNETR_CLIP,0.9171307765262353,0.9299733638763428,U-Net_CLIP
STU-Net H,0.9260467825575142,0.9349687695503236,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, LHU-Net, STU-Net L, nnU-Net U-Net"
nnU-Net_ResEncL,0.9263430571000152,0.9354565143585204,"Diff-UNet, MedFormer, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
SegVol,0.92510223933972,0.9350768327713012,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, nnU-Net U-Net"
UNEST,0.909163439483165,0.9212881922721864,
MedNeXt,0.9257953672131848,0.935620129108429,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, STU-Net L, STU-Net H, LHU-Net, nnU-Net U-Net"
nnU-Net U-Net,0.926614716870774,0.9354276657104492,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L"
MedFormer,0.9278680363730779,0.9371170103549957,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, STU-Net L, nnU-Net U-Net"
Swin_UNETR,0.8982623361908262,0.9223541021347046,"UNETR, NexToU"
STU-Net B,0.9253855543407095,0.934804618358612,"Diff-UNet, MedFormer, nnU-Net_ResEncL, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
STU-Net L,0.9251350100939549,0.9343812465667723,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, nnU-Net U-Net"
UCTransNet,0.8645224036909551,0.9141263961791992,
UniSeg,0.9220341396419748,0.9318090677261353,
SAM-Adapter,0.903608778376228,0.9175390005111694,"UNETR, NexToU"
