Model_name,Median,95% CI,Likely_models,organization
UNETR,0.9201856255531312,66.7 - 95.1,[],NVIDIA
U-Net_CLIP,0.9290878176689148,87.3 - 95.2,[],CityU
Diff-UNet,0.9372442364692688,88.4 - 96.0,['MedFormer'],HKUST
LHU-Net,0.9343016147613525,88.0 - 95.7,['STU-Net L'],UR
NexToU,0.9261992573738098,67.7 - 95.6,[],HIT
Swin_UNETR_CLIP,0.9299733638763428,87.2 - 95.3,[],CityU
STU-Net H,0.9349687695503236,88.1 - 95.8,"['SegVol', 'STU-Net B']",Shanghai AI Lab
nnU-Net_ResEncL,0.9354565143585204,88.1 - 95.9,"['MedNeXt', 'nnU-Net U-Net']",DKFZ
SegVol,0.9350768327713012,87.0 - 95.7,"['STU-Net H', 'STU-Net B', 'STU-Net L']",BAAI
UNEST,0.9212881922721864,83.3 - 95.0,[],NVIDIA
MedNeXt,0.935620129108429,88.1 - 95.9,['nnU-Net_ResEncL'],DKFZ
nnU-Net U-Net,0.9354276657104492,88.2 - 95.9,"['nnU-Net_ResEncL', 'STU-Net B']",N/A
MedFormer,0.9371170103549957,88.3 - 96.2,['Diff-UNet'],Rutgers
Swin_UNETR,0.9223541021347046,58.2 - 95.1,[],Collecting Data
STU-Net B,0.934804618358612,88.0 - 95.8,"['STU-Net H', 'SegVol', 'nnU-Net U-Net', 'STU-Net L']",Collecting Data
STU-Net L,0.9343812465667723,87.8 - 95.8,"['LHU-Net', 'SegVol', 'STU-Net B']",Collecting Data
UCTransNet,0.9141263961791992,36.7 - 95.3,[],Collecting Data
UniSeg,0.9318090677261353,87.5 - 95.5,[],NPU
SAM-Adapter,0.9175390005111694,80.8 - 94.5,[],Duke
