Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.9502800251656711,0.9586756825447083,Swin_UNETR
U-Net_CLIP,0.9595155187527905,0.963690221309662,"SegVol, Swin_UNETR_CLIP"
Diff-UNet,0.9619730522745112,0.9668571352958679,"nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, UniSeg, nnU-Net U-Net"
LHU-Net,0.9618329819006383,0.9662901759147644,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, STU-Net L, UniSeg, nnU-Net U-Net"
NexToU,0.9565235623971592,0.9640665650367736,Swin_UNETR_CLIP
Swin_UNETR_CLIP,0.957596500808987,0.9639679789543152,"U-Net_CLIP, NexToU"
STU-Net H,0.9632932235417422,0.9676302671432495,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, LHU-Net, nnU-Net U-Net"
nnU-Net_ResEncL,0.9631107166561808,0.9675937592983246,"Diff-UNet, MedFormer, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
SegVol,0.9602662521549078,0.9657129645347595,"U-Net_CLIP, Diff-UNet, LHU-Net, UniSeg"
UNEST,0.9527256385098054,0.9589535892009735,Swin_UNETR
MedNeXt,0.9632698793337765,0.9677004218101501,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, STU-Net H, LHU-Net, nnU-Net U-Net"
nnU-Net U-Net,0.962191881939604,0.9669332802295686,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg"
MedFormer,0.9643888597041613,0.9685547947883606,"nnU-Net_ResEncL, STU-Net L, MedNeXt, STU-Net H"
Swin_UNETR,0.9522759435693761,0.9599935710430145,"UNETR, UNEST"
STU-Net B,0.9623385857612377,0.9671472012996674,"Diff-UNet, nnU-Net_ResEncL, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
STU-Net L,0.9630476643332139,0.9674956500530242,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
UCTransNet,0.9355991176104658,0.9535973966121674,
UniSeg,0.9614351870582047,0.9659344851970673,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, STU-Net L, LHU-Net, nnU-Net U-Net"
SAM-Adapter,0.9407759504976545,0.9483022689819336,
