Model_name,Median,95% CI,Likely_models,organization
UNETR,0.9586756825447083,0.89 - 0.97,[],NVIDIA
U-Net_CLIP,0.963690221309662,0.94 - 0.97,['SegVol'],CityU
Diff-UNet,0.9668571352958679,0.94 - 0.98,['nnU-Net U-Net'],HKUST
LHU-Net,0.9662901759147644,0.94 - 0.98,[],UR
NexToU,0.9640665650367736,0.91 - 0.98,[],HIT
Swin_UNETR_CLIP,0.9639679789543152,0.93 - 0.97,['UniSeg'],CityU
STU-Net H,0.9676302671432495,0.94 - 0.98,['nnU-Net_ResEncL'],Shanghai AI Lab
nnU-Net_ResEncL,0.9675937592983246,0.94 - 0.98,"['STU-Net H', 'MedNeXt', 'STU-Net L']",DKFZ
SegVol,0.9657129645347595,0.93 - 0.98,['U-Net_CLIP'],BAAI
UNEST,0.9589535892009735,0.92 - 0.97,[],NVIDIA
MedNeXt,0.9677004218101501,0.94 - 0.98,['nnU-Net_ResEncL'],DKFZ
nnU-Net U-Net,0.9669332802295686,0.94 - 0.98,['Diff-UNet'],N/A
MedFormer,0.9685547947883606,0.94 - 0.98,[],Rutgers
Swin_UNETR,0.9599935710430145,0.90 - 0.97,[],Collecting Data
STU-Net B,0.9671472012996674,0.94 - 0.98,[],Collecting Data
STU-Net L,0.9674956500530242,0.94 - 0.98,['nnU-Net_ResEncL'],Collecting Data
UCTransNet,0.9535973966121674,0.79 - 0.97,[],Collecting Data
UniSeg,0.9659344851970673,0.94 - 0.97,['Swin_UNETR_CLIP'],NPU
SAM-Adapter,0.9483022689819336,0.89 - 0.96,[],Duke
