Model_name,Median,95% CI,Likely_models,organization
UNETR,0.8508282568719652,69.1 - 90.3,[],NVIDIA
U-Net_CLIP,0.8822436730066935,77.3 - 91.5,['SegVol'],CityU
Diff-UNet,0.8953204221195645,79.4 - 92.6,[],HKUST
LHU-Net,0.889863971206877,79.6 - 92.1,['NexToU'],UR
NexToU,0.8917743961016337,77.2 - 92.5,['LHU-Net'],HIT
Swin_UNETR_CLIP,0.8809410333633423,75.8 - 91.5,['SegVol'],CityU
STU-Net H,0.8983339402410719,81.7 - 92.7,['STU-Net B'],Shanghai AI Lab
nnU-Net_ResEncL,0.8965743515226576,80.6 - 92.6,['nnU-Net U-Net'],DKFZ
SegVol,0.8827675647205777,77.2 - 91.9,"['U-Net_CLIP', 'Swin_UNETR_CLIP']",BAAI
UNEST,0.8638287054167854,73.0 - 90.6,[],NVIDIA
MedNeXt,0.9004908071623908,80.8 - 92.9,['MedFormer'],DKFZ
nnU-Net U-Net,0.8981088267432319,80.6 - 92.7,['nnU-Net_ResEncL'],N/A
MedFormer,0.8998062776194679,80.6 - 93.0,"['MedNeXt', 'STU-Net B']",Rutgers
Swin_UNETR,0.8658930593066745,68.1 - 90.9,[],Collecting Data
STU-Net B,0.8986210723718007,81.5 - 92.7,"['STU-Net H', 'MedFormer', 'STU-Net L']",Collecting Data
STU-Net L,0.8978212343321906,81.4 - 92.7,['STU-Net B'],Collecting Data
UCTransNet,0.8340063360002306,59.4 - 90.3,[],Collecting Data
UniSeg,0.8963152567545573,81.0 - 92.4,[],NPU
SAM-Adapter,0.7471198340257009,61.5 - 80.9,[],Duke
