Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.7227193189123442,0.7663494944572449,
U-Net_CLIP,0.808077816261818,0.839214026927948,LHU-Net
Diff-UNet,0.8185274323945393,0.848636269569397,nnU-Net U-Net
LHU-Net,0.8104462912763766,0.8400667905807495,U-Net_CLIP
NexToU,0.8024864261188129,0.844982922077179,Swin_UNETR_CLIP
Swin_UNETR_CLIP,0.8018903934026772,0.8361377120018005,NexToU
STU-Net H,0.8340213942751041,0.8611922264099121,"STU-Net L, MedNeXt, STU-Net B, MedFormer"
nnU-Net_ResEncL,0.8293040707122996,0.8560397624969482,"UniSeg, MedNeXt, STU-Net B, MedFormer"
SegVol,0.791100966691878,0.8260669112205505,
UNEST,0.7616382729682967,0.7936391830444336,
MedNeXt,0.8332297210790931,0.8606320023536682,"MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, STU-Net H"
nnU-Net U-Net,0.8225213714942977,0.8518752455711365,Diff-UNet
MedFormer,0.8310528687879553,0.8602727055549622,"nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, UniSeg"
Swin_UNETR,0.7555951006798017,0.8003940582275391,
STU-Net B,0.8316715956971253,0.8573668599128723,"MedFormer, nnU-Net_ResEncL, STU-Net L, MedNeXt, STU-Net H"
STU-Net L,0.833938400104881,0.8605650663375854,"STU-Net B, MedNeXt, STU-Net H, MedFormer"
UCTransNet,0.5901659079630294,0.652106761932373,
UniSeg,0.827341251274782,0.8537946939468384,"nnU-Net_ResEncL, MedFormer"
SAM-Adapter,0.5023115612627146,0.526985764503479,
