Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.7154061328222231,0.745892345905304,
U-Net_CLIP,0.7849124552023912,0.808155357837677,NexToU
Diff-UNet,0.807522374109194,0.8260808885097504,"nnU-Net_ResEncL, nnU-Net U-Net, STU-Net H, MedFormer"
LHU-Net,0.7943771476717822,0.813539445400238,
NexToU,0.7813904383975411,0.7997410595417023,"U-Net_CLIP, SegVol"
Swin_UNETR_CLIP,0.7677500458568991,0.7961676716804504,
STU-Net H,0.810700724363174,0.8276109397411346,"Diff-UNet, MedFormer, STU-Net B, STU-Net L, MedNeXt, UniSeg, nnU-Net U-Net"
nnU-Net_ResEncL,0.8054254285738218,0.8249850869178772,"Diff-UNet, MedFormer"
SegVol,0.7778549014264696,0.7971308827400208,NexToU
UNEST,0.743693095801637,0.7694539129734039,
MedNeXt,0.8129872262754833,0.8311060965061188,"STU-Net B, STU-Net L, STU-Net H, UniSeg, nnU-Net U-Net"
nnU-Net U-Net,0.8103782453161289,0.8272224366664886,"Diff-UNet, MedFormer, STU-Net B, STU-Net L, MedNeXt, STU-Net H, UniSeg"
MedFormer,0.8072422871439496,0.8334710597991943,"nnU-Net_ResEncL, Diff-UNet, nnU-Net U-Net, STU-Net H"
Swin_UNETR,0.7536736883357916,0.7830985188484192,
STU-Net B,0.8131071034969822,0.8299463093280792,"STU-Net L, MedNeXt, STU-Net H, UniSeg, nnU-Net U-Net"
STU-Net L,0.8125904538397947,0.8291843235492706,"STU-Net B, MedNeXt, STU-Net H, UniSeg, nnU-Net U-Net"
UCTransNet,0.6805309850372625,0.7190711498260498,
UniSeg,0.8115758645656459,0.8289057314395905,"STU-Net B, STU-Net L, MedNeXt, STU-Net H, nnU-Net U-Net"
SAM-Adapter,0.4804685659250006,0.5012282133102417,
