Model_name,Median,95% CI,Likely_models,organization
UNETR,0.745892345905304,38.2 - 87.2,[],NVIDIA
U-Net_CLIP,0.808155357837677,53.8 - 89.8,['LHU-Net'],CityU
Diff-UNet,0.8260808885097504,60.1 - 91.0,"['STU-Net H', 'nnU-Net_ResEncL', 'nnU-Net U-Net', 'UniSeg']",HKUST
LHU-Net,0.813539445400238,57.5 - 90.5,['U-Net_CLIP'],UR
NexToU,0.7997410595417023,56.6 - 89.3,['SegVol'],HIT
Swin_UNETR_CLIP,0.7961676716804504,47.5 - 89.3,[],CityU
STU-Net H,0.8276109397411346,62.5 - 91.0,"['Diff-UNet', 'MedFormer', 'STU-Net B']",Shanghai AI Lab
nnU-Net_ResEncL,0.8249850869178772,60.4 - 90.9,['Diff-UNet'],DKFZ
SegVol,0.7971308827400208,55.6 - 89.9,['NexToU'],BAAI
UNEST,0.7694539129734039,43.3 - 88.4,[],NVIDIA
MedNeXt,0.8311060965061188,62.0 - 91.0,"['MedFormer', 'STU-Net B']",DKFZ
nnU-Net U-Net,0.8272224366664886,62.5 - 90.9,['Diff-UNet'],N/A
MedFormer,0.8334710597991943,53.7 - 91.7,"['STU-Net H', 'MedNeXt', 'STU-Net B', 'STU-Net L', 'UniSeg']",Rutgers
Swin_UNETR,0.7830985188484192,45.2 - 89.0,[],Collecting Data
STU-Net B,0.8299463093280792,62.7 - 91.0,"['STU-Net H', 'MedNeXt', 'MedFormer', 'STU-Net L', 'UniSeg']",Collecting Data
STU-Net L,0.8291843235492706,62.6 - 91.0,"['MedFormer', 'STU-Net B']",Collecting Data
UCTransNet,0.7190711498260498,27.3 - 87.7,[],Collecting Data
UniSeg,0.8289057314395905,62.6 - 90.8,"['Diff-UNet', 'MedFormer', 'STU-Net B']",NPU
SAM-Adapter,0.5012282133102417,14.4 - 69.7,[],Duke
