Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.9166050398211563,0.942407488822937,
U-Net_CLIP,0.9428787009559408,0.9531434774398804,"SegVol, Swin_UNETR_CLIP"
Diff-UNet,0.9502841220648058,0.960103839635849,"nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
LHU-Net,0.9486172341869763,0.9578460454940796,"Diff-UNet, NexToU, STU-Net B, UniSeg, nnU-Net U-Net"
NexToU,0.94657799504853,0.9595301449298859,"UniSeg, SegVol, LHU-Net"
Swin_UNETR_CLIP,0.9410070377944986,0.9526037275791168,U-Net_CLIP
STU-Net H,0.9519208683381164,0.959541380405426,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, nnU-Net U-Net"
nnU-Net_ResEncL,0.9520278148820331,0.9599798023700714,"Diff-UNet, STU-Net B, STU-Net L, MedNeXt, STU-Net H, nnU-Net U-Net"
SegVol,0.9452373431445664,0.9561270773410796,"U-Net_CLIP, NexToU"
UNEST,0.9323500920305378,0.9452072978019714,
MedNeXt,0.9520261599285205,0.9600085616111755,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, STU-Net L, STU-Net H, nnU-Net U-Net"
nnU-Net U-Net,0.9510461009380932,0.9597613513469696,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net"
MedFormer,0.9553082761043661,0.963562309741974,
Swin_UNETR,0.9274463479521671,0.9450103640556335,
STU-Net B,0.9506426384098755,0.9591573178768158,"Diff-UNet, nnU-Net_ResEncL, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
STU-Net L,0.951717286663949,0.9595934450626373,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, MedNeXt, STU-Net H, nnU-Net U-Net"
UCTransNet,0.9023895002666315,0.9392083287239075,SAM-Adapter
UniSeg,0.9485874794865785,0.956121414899826,"Diff-UNet, STU-Net B, LHU-Net, NexToU"
SAM-Adapter,0.9045736770124784,0.9289552271366119,UCTransNet
